Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Note
"Carminati, Laura; Pinessi, Denise; Borsotti, Patrizia; Minoli, Lucia; Giavazzi, Raffaella; D’Incalci, Maurizio; Belotti, Dorina; Taraboletti, Giulia; ",Antimetastatic and antiangiogenic activity of trabectedin in cutaneous melanoma,Carcinogenesis,40,2,303-312,2019,Oxford University Press UK,Pass-no unit
"Jiao, Hongliang; Guan, Fangxia; Yang, Bo; Li, Jianbin; Shan, Hong; Song, Laijun; Hu, Xiang; Du, Ying; ",Human umbilical cord blood-derived mesenchymal stem cells inhibit C6 glioma via downregulation of cyclin D1,Neurology India,59,2,241,2011,Medknow Publications,Pass-no unit
"Eklund, Lauri; Bry, Maija; Alitalo, Kari; ",Mouse models for studying angiogenesis and lymphangiogenesis in cancer,Molecular oncology,7,2,259-282,2013,Elsevier,Review
"Campbell, Nicole E; Greenaway, James; Henkin, Jack; Moorehead, Roger A; Petrik, Jim; ",The thrombospondin-1 mimetic ABT-510 increases the uptake and effectiveness of cisplatin and paclitaxel in a mouse model of epithelial ovarian cancer,Neoplasia,12,3,275-283,2010,Elsevier,Pass-no unit
"Dandachi, Nadine; Kelly, Neil J; Wood, John P; Burton, Christine L; Radder, Josiah E; Leme, Adriana S; Gregory, Alyssa D; Shapiro, Steven D; ",Macrophage elastase induces TRAIL-mediated tumor cell death through its carboxy-terminal domain,American Journal of Respiratory and Critical Care Medicine,196,3,353-363,2017,American Thoracic Society,Pass
"Zhang, Wenting; Fan, Wei; Rachagani, Satyanarayana; Zhou, Zhengyuan; Lele, Subodh M; Batra, Surinder K; Garrison, Jered C; ","Comparative study of subcutaneous and orthotopic mouse models of prostate cancer: vascular perfusion, vasculature density, hypoxic burden and BB2r-targeting efficacy",Scientific reports,9,1,11117,2019,Nature Publishing Group UK London,
"Norris, Andrew J; Sartippour, Maryam R; Lu, Ming; Park, Taylor; Rao, Jian Yu; Jackson, Matthew I; Fukuto, Jon M; Brooks, Mai N; ",Nitroxyl inhibits breast tumor growth and angiogenesis,International journal of cancer,122,8,1905-1910,2008,Wiley Online Library,Pass-no unit
"Bertrand, Charlotte; Van Meerbeeck, Pierre; de Streel, Grégoire; Vaherto-Bleeckx, Noora; Benhaddi, Fatima; Rouaud, Loïc; Noël, Agnès; Coulie, Pierre G; van Baren, Nicolas; Lucas, Sophie; ",Combined Blockade of GARP: TGF-β1 and PD-1 Increases Infiltration of T Cells and Density of Pericyte-Covered GARP+ Blood Vessels in Mouse MC38 Tumors,Frontiers in Immunology,12,,704050,2021,Frontiers Media SA,
"Lattier, John M; Yang, Hua; Crawford, Susan; Grossniklaus, Hans E; ",Host pigment epithelium-derived factor (PEDF) prevents progression of liver metastasis in a mouse model of uveal melanoma,Clinical & experimental metastasis,30,,969-976,2013,Springer,Cannot access
"Liu, Lin; Qin, Shukui; Zheng, Yinghui; Han, Li; Zhang, Minmin; Luo, Nuo; Liu, Zhengcao; Gu, Ning; Gu, Xiaoyi; Yin, Xiaojin; ",Molecular targeting of VEGF/VEGFR signaling by the anti-VEGF monoclonal antibody BD0801 inhibits the growth and induces apoptosis of human hepatocellular carcinoma cells in vitro and in vivo,Cancer biology & therapy,18,3,166-176,2017,Taylor & Francis,Pass-no unit
"Lenz, G; Wright, G; Dave, SS; Xiao, W; Powell, J; Zhao, H; Xu, W; Tan, B; Goldschmidt, N; Iqbal, Javeed; ",Stromal gene signatures in large-B-cell lymphomas,New England Journal of Medicine,359,22,2313-2323,2008,Mass Medical Soc,Pass-different unit
"Liang, Yayun; Besch-Williford, Cynthia; Benakanakere, Indira; Thorpe, Philip E; Hyder, Salman M; ",Targeting mutant p53 protein and the tumor vasculature: an effective combination therapy for advanced breast tumors,Breast cancer research and treatment,125,,407-420,2011,Springer,
"Ten Voorde, Anna MW; Wierenga, Annemijn PA; Nell, Rogier J; van der Velden, Pieter A; Luyten, Gregorius PM; Verdijk, Robert M; Jager, Martine J; ","In uveal melanoma, angiopoietin-2 but not angiopoietin-1 is increased in high-risk tumors, providing a potential druggable target",Cancers,13,16,3986,2021,MDPI,Pass
"Germain, Mitchel; De Arcangelis, Adèle; Robinson, Stephen D; Baker, Marianne; Tavora, Bernardo; d'Amico, Gabriela; Silva, Rita; Kostourou, Vassiliki; Reynolds, Louise E; Watson, Alan; ",Genetic ablation of the alpha 6‐integrin subunit in Tie1Cre mice enhances tumour angiogenesis,The Journal of Pathology: A Journal of the Pathological Society of Great Britain and Ireland,220,3,370-381,2010,Wiley Online Library,
"Franco, Claudio A; Blanc, Jocelyne; Parlakian, Ara; Blanco, Raquel; Aspalter, Irene M; Kazakova, Natalia; Diguet, Nicolas; Mylonas, Elena; Gao-Li, Jacqueline; Vaahtokari, Anne; ",SRF selectively controls tip cell invasive behavior in angiogenesis,Development,140,11,2321-2333,2013,Company of Biologists,
"Blasiak, Barbara; Tomanek, Boguslaw; Abulrob, Abedelnasser; Iqbal, Umar; Stanimirovic, Danica; Albaghdadi, Homam; Foniok, Tadeusz; Lun, Xueqing; Forsyth, Peter; Sutherland, Garnette R; ",Detection of T2 changes in an early mouse brain tumor,Magnetic Resonance Imaging,28,6,784-789,2010,Elsevier,Pass-different unit
"Seril, Darren N; Liao, Jie; Yang, Guang‐Yu; ",Colorectal carcinoma development in inducible nitric oxide synthase‐deficient mice with dextran sulfate sodium‐induced ulcerative colitis,Molecular Carcinogenesis: Published in cooperation with the University of Texas MD Anderson Cancer Center,46,5,341-353,2007,Wiley Online Library,Pass-no unit
"Yang, Li; DeBusk, Laura M; Fukuda, Koari; Fingleton, Barbara; Green-Jarvis, Brenda; Shyr, Yu; Matrisian, Lynn M; Carbone, David P; Lin, P Charles; ",Expansion of myeloid immune suppressor Gr+ CD11b+ cells in tumor-bearing host directly promotes tumor angiogenesis,Cancer cell,6,4,409-421,2004,Elsevier,Pass-no unit
"Aguiar, Rodrigo Barbosa de; Moraes, Jane Zveiter de; ",Exploring the immunological mechanisms underlying the anti-vascular endothelial growth factor activity in tumors,Frontiers in immunology,10,,1023,2019,Frontiers Media SA,Review
"Pedrosa, Ana-Rita; Bodrug, Natalia; Gomez-Escudero, Jesus; Carter, Edward P; Reynolds, Louise E; Georgiou, Paraskivi Natalia; Fernandez, Isabelle; Lees, Delphine M; Kostourou, Vassiliki; Alexopoulou, Annika N; ",Tumor angiogenesis is differentially regulated by phosphorylation of endothelial cell focal adhesion kinase tyrosines-397 and-861,Cancer research,79,17,4371-4386,2019,AACR,
"Hicks, Martin J; Funato, Kosuke; Wang, Lan; Aronowitz, Eric; Dyke, Jonathan P; Ballon, Douglas J; Havlicek, David F; Frenk, Esther Z; De, Bishnu P; Chiuchiolo, Maria J; ",Genetic modification of neurons to express bevacizumab for local anti-angiogenesis treatment of glioblastoma,Cancer gene therapy,22,1,8-Jan,2015,Nature Publishing Group,Pass-no unit
"Poff, Angela M; Ari, Csilla; Seyfried, Thomas N; D’Agostino, Dominic P; ",The ketogenic diet and hyperbaric oxygen therapy prolong survival in mice with systemic metastatic cancer,PloS one,8,6,e65522,2013,"Public Library of Science San Francisco, USA",Pass
"Tan, Juntao; Yang, Nuo; Zhong, Liping; Tan, Jie; Hu, Zixi; Zhao, Qing; Gong, Wenlin; Zhang, Zhenghua; Zheng, Rong; Lai, Zongqiang; ",A new theranostic system based on endoglin aptamer conjugated fluorescent silica nanoparticles,Theranostics,7,19,4862,2017,Ivyspring International Publisher,Pass-no unit
"Jaggi, Jaspreet Singh; Henke, Erik; Seshan, Surya V; Kappel, Barry J; Chattopadhyay, Debjit; May, Chad; McDevitt, Michael R; Nolan, Daniel; Mittal, Vivek; Benezra, Robert; ",Selective alpha-particle mediated depletion of tumor vasculature with vascular normalization,PLoS One,2,3,e267,2007,"Public Library of Science San Francisco, USA",Pass
"Yoshii, Yukie; Yoshimoto, Mitsuyoshi; Matsumoto, Hiroki; Furukawa, Takako; Zhang, Ming-Rong; Inubushi, Masayuki; Tsuji, Atsushi B; Fujibayashi, Yasuhisa; Higashi, Tatsuya; Saga, Tsuneo; ",64Cu-ATSM internal radiotherapy to treat tumors with bevacizumab-induced vascular decrease and hypoxia in human colon carcinoma xenografts,Oncotarget,8,51,88815,2017,"Impact Journals, LLC",Pass-no unit
"Dace, Dru Samuel; ","The Role of Interferon-Gamma, Cd4-Positive T Cells, and Cd8-Positive T Cells in the Immune Rejection of Intraocular Tumors",,,,,2007,,Pass-thesis
"Ruotsalainen, Janne; Lopez‐Ramos, Dorys; Rogava, Meri; Shridhar, Naveen; Glodde, Nicole; Gaffal, Evelyn; Hölzel, Michael; Bald, Tobias; Tüting, Thomas; ",The myeloid cell type I IFN system promotes antitumor immunity over pro‐tumoral inflammation in cancer T‐cell therapy,Clinical & Translational Immunology,10,4,e1276,2021,Wiley Online Library,Pass-no unit
"McCormack, Paul L; Keam, Susan J; ",Bevacizumab: a review of its use in metastatic colorectal cancer,Drugs,68,,487-506,2008,Springer,Review
"Dudek, Arkadiusz Z; Zwolak, Pawel; Jasinski, Piotr; Terai, Kaoru; Gallus, Nathan J; Ericson, Marna E; Farassati, Faris; ",Protein kinase C-β inhibitor enzastaurin (LY317615. HCI) enhances radiation control of murine breast cancer in an orthotopic model of bone metastasis,Investigational new drugs,26,,13-24,2008,Springer,
"Watson, Alan R; Pitchford, Simon C; Reynolds, Louise E; Direkze, Natalie; Brittan, Mairi; Alison, Malcolm R; Rankin, Sara; Wright, Nicholas A; Hodivala‐Dilke, Kairbaan M; ",Deficiency of bone marrow β3‐integrin enhances non‐functional neovascularization,The Journal of Pathology: A Journal of the Pathological Society of Great Britain and Ireland,220,4,435-445,2010,Wiley Online Library,Pass
"Takeichi, Takayuki; Mocevicius, Paulius; Deduchovas, Olegas; Salnikova, Olga; Castro‐Santa, Edward; Büchler, Markus W; Schmidt, Jan; Ryschich, Eduard; ",αLβ2 Integrin is indispensable for CD8+ T‐cell recruitment in experimental pancreatic and hepatocellular cancer,International journal of cancer,130,9,2067-2076,2012,Wiley Online Library,
"Maione, Federica; Molla, Fabiola; Meda, Claudia; Latini, Roberto; Zentilin, Lorena; Giacca, Mauro; Seano, Giorgio; Serini, Guido; Bussolino, Federico; Giraudo, Enrico; ",Semaphorin 3A is an endogenous angiogenesis inhibitor that blocks tumor growth and normalizes tumor vasculature in transgenic mouse models,The Journal of clinical investigation,119,11,3356-3372,2009,Am Soc Clin Investig,Pass
"Moen, Ingrid; Jevne, Charlotte; Wang, Jian; Kalland, Karl-Henning; Chekenya, Martha; Akslen, Lars A; Sleire, Linda; Enger, Per Ø; Reed, Rolf K; Øyan, Anne M; ",Gene expression in tumor cells and stroma in dsRed 4T1 tumors in eGFP-expressing mice with and without enhanced oxygenation,BMC cancer,12,1,10-Jan,2012,BioMed Central,
"Liu, Bing; Pan, Shangha; Dong, Xuesong; Qiao, Haiquan; Jiang, Hongchi; Krissansen, Geoffrey W; Sun, Xueying; ",Opposing effects of arsenic trioxide on hepatocellular carcinomas in mice,Cancer science,97,7,675-681,2006,Wiley Online Library,Pass-no unit
"Cong, Zhuangzhuang; Diao, Yifei; Li, Xiaokun; Jiang, Zhisheng; Xu, Yang; Zhou, Hai; Qiang, Yong; Wu, Haiwei; Shen, Yi; ",Long non-coding RNA linc00665 interacts with YB-1 and promotes angiogenesis in lung adenocarcinoma,Biochemical and Biophysical Research Communications,527,2,545-552,2020,Elsevier,
"Schiffelers, Raymond M; Metselaar, Josbert M; Fens, Marcel HAM; Janssen, Adriänne PCA; Molema, Grietje; Storm, Gert; ",Liposome-encapsulated prednisolone phosphate inhibits growth of established tumors in mice,Neoplasia,7,2,118-127,2005,Elsevier,Pass
"Wu, Shan; Wang, Yu; Guo, Jinsong; Chen, Qunzhi; Zhang, Jue; Fang, Jing; ",Nanosecond pulsed electric fields as a novel drug free therapy for breast cancer: an in vivo study,Cancer letters,343,2,268-274,2014,Elsevier,
"Yang, Yali; Bai, Jingxiang; Shen, Rulong; Brown, Sharron AN; Komissarova, Elena; Huang, Ying; Jiang, Ning; Alberts, Gregory F; Costa, Max; Lu, Luo; ",Polo-like kinase 3 functions as a tumor suppressor and is a negative regulator of hypoxia-inducible factor-1α under hypoxic conditions,Cancer research,68,11,4077-4085,2008,AACR,Pass-no unit
"Tao, Qianying; Qi, Yingxue; Gu, Jiayi; Yu, Die; Lu, Yuxin; Liu, Jianwen; Liang, Xin; ",Breast cancer cells-derived Von Willebrand Factor promotes VEGF-A-related angiogenesis through PI3K/Akt-miR-205-5p signaling pathway,Toxicology and Applied Pharmacology,440,,115927,2022,Elsevier,Pass
"Chiu, David Kung‐Chun; Xu, Iris Ming‐Jing; Lai, Robin Kit‐Ho; Tse, Aki Pui‐Wah; Wei, Larry Lai; Koh, Hui‐Yu; Li, Lynna Lan; Lee, Derek; Lo, Regina Cheuk‐Lam; Wong, Chun‐Ming; ",Hypoxia induces myeloid‐derived suppressor cell recruitment to hepatocellular carcinoma through chemokine (C‐C motif) ligand 26,Hepatology,64,3,797-813,2016,Wiley Online Library,Pass-no unit
"Di Matteo, P; Hackl, C; Jedeszko, C; Valentinis, B; Bordignon, Claudio; Traversari, C; Kerbel, RS; Rizzardi, GP; ","NGR-TNF, a novel vascular-targeting agent, does not induce cytokine recruitment of proangiogenic bone marrow-derived cells",British journal of cancer,109,2,360-369,2013,Nature Publishing Group,Pass-no unit
"Lees, Delphine M; Reynolds, Louise E; Pedrosa, Ana Rita; Roy-Luzarraga, Marina; Hodivala-Dilke, Kairbaan M; ",Phosphorylation of pericyte FAK-Y861 affects tumour cell apoptosis and tumour blood vessel regression,Angiogenesis,24,,471-482,2021,Springer,
"Wang, Yugang; Ning, Yu; Alam, Goleeta N; Jankowski, Brandon M; Dong, Zhihong; Nör, Jacques E; Polverini, Peter J; ",Amino acid deprivation promotes tumor angiogenesis through the GCN2/ATF4 pathway,Neoplasia,15,8,989-997,2013,Elsevier,Pass-no unit
