Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Note
"Yuan, Fan; Chen, Yi; Dellian, Marc; Safabakhsh, Nina; Ferrara, Napoleone; Jain, Rakesh K; ",Time-dependent vascular regression and permeability changes in established human tumor xenografts induced by an anti-vascular endothelial growth factor/vascular permeability factor antibody,Proceedings of the National Academy of Sciences,93,25,14765-14770,1996,National Acad Sciences,
"Yotsumoto, Fusanori; You, Weon-Kyoo; Cejudo-Martin, Pilar; Kucharova, Karolina; Sakimura, Kenji; Stallcup, William B; ",NG2 proteoglycan-dependent recruitment of tumor macrophages promotes pericyte-endothelial cell interactions required for brain tumor vascularization,Oncoimmunology,4,4,e1001204,2015,Taylor & Francis,
"Demené, Charlie; Payen, Thomas; Dizeux, Alexandre; Barrois, Guillaume; Gennisson, Jean-Luc; Bridal, Lori; Tanter, Mickael; ",3-D longitudinal imaging of tumor angiogenesis in mice in vivo using ultrafast Doppler tomography,Ultrasound in Medicine & Biology,45,5,1284-1296,2019,Elsevier,Pass
"Fisher, Daniel T; Muhitch, Jason B; Kim, Minhyung; Doyen, Kurt C; Bogner, Paul N; Evans, Sharon S; Skitzki, Joseph J; ",Intraoperative intravital microscopy permits the study of human tumour vessels,Nature communications,7,1,10684,2016,Nature Publishing Group UK London,
"Yukami, Toshiro; Yagita, Yoshiki; Sugiyama, Yukio; Oyama, Naoki; Watanabe, Akihiro; Sasaki, Tsutomu; Sakaguchi, Manabu; Mochizuki, Hideki; Kitagawa, Kazuo; ",Chronic elevation of tumor necrosis factor-α mediates the impairment of leptomeningeal arteriogenesis in db/db mice,Stroke,46,6,1657-1663,2015,Am Heart Assoc,
"Griffon-Etienne, Genevièeve; Boucher, Yves; Brekken, Christian; Suit, Herman D; Jain, Rakesh K; ",Taxane-induced apoptosis decompresses blood vessels and lowers interstitial fluid pressure in solid tumors: clinical implications,Cancer research,59,15,3776-3782,1999,AACR,
"Primeau, Andrew J; Rendon, Augusto; Hedley, David; Lilge, Lothar; Tannock, Ian F; ",The distribution of the anticancer drug Doxorubicin in relation to blood vessels in solid tumors,Clinical Cancer Research,11,24,8782-8788,2005,AACR,
"Konerding, MA; Malkusch, W; Klapthor, B; Van Ackern, C; Fait, E; Hill, SA; Parkins, C; Chaplin, DJ; Presta, Mand; Denekamp, J; ",Evidence for characteristic vascular patterns in solid tumours: quantitative studies using corrosion casts,British journal of cancer,80,5,724-732,1999,Nature Publishing Group,
"Reynolds, Louise E; D'amico, Gabriela; Lechertier, Tanguy; Papachristodoulou, Alexandros; Muñoz-Félix, José M; De Arcangelis, Adèle; Baker, Marianne; Serrels, Bryan; Hodivala-Dilke, Kairbaan M; ",Dual role of pericyte α6β1-integrin in tumour blood vessels,Journal of Cell Science,130,9,1583-1595,2017,The Company of Biologists Ltd,
"Albrecht, Imke; Kopfstein, Lucie; Strittmatter, Karin; Schomber, Tibor; Falkevall, Annelie; Hagberg, Carolina E; Lorentz, Pascal; Jeltsch, Michael; Alitalo, Kari; Eriksson, Ulf; ",Suppressive effects of vascular endothelial growth factor-B on tumor growth in a mouse model of pancreatic neuroendocrine tumorigenesis,PloS one,5,11,e14109,2010,"Public Library of Science San Francisco, USA",
"Mathivet, Thomas; Bouleti, Claire; Van Woensel, Matthias; Stanchi, Fabio; Verschuere, Tina; Phng, Li‐Kun; Dejaegher, Joost; Balcer, Marly; Matsumoto, Ken; Georgieva, Petya B; ",Dynamic stroma reorganization drives blood vessel dysmorphia during glioma growth,EMBO molecular medicine,9,12,1629-1645,2017,,
"Ghaghada, Ketan B; Badea, Cristian T; Karumbaiah, Lohitash; Fettig, Nicole; Bellamkonda, Ravi V; Johnson, GA; Annapragada, Ananth; ",Evaluation of tumor microenvironment in an animal model using a nanoparticle contrast agent in computed tomography imaging,Academic radiology,18,1,20-30,2011,Elsevier,Pass-too large value
"Péqueux, Christel; Raymond-Letron, Isabelle; Blacher, Silvia; Boudou, Frédéric; Adlanmerini, Marine; Fouque, Marie-José; Rochaix, Philippe; Noël, Agnès; Foidart, Jean-Michel; Krust, Andrée; ",Stromal estrogen receptor-α promotes tumor growth by normalizing an increased angiogenesis,Cancer research,72,12,3010-3019,2012,AACR,
"Lauk, S; Zietman, A; Skates, S; Fabian, R; Suit, HD; ",Comparative morphometric study of tumor vasculature in human squamous cell carcinomas and their xenotransplants in athymic nude mice,Cancer research,49,16,4557-4561,1989,AACR,Pass
"Polydorou, Christiana; Mpekris, Fotios; Papageorgis, Panagiotis; Voutouri, Chrysovalantis; Stylianopoulos, Triantafyllos; ",Pirfenidone normalizes the tumor microenvironment to improve chemotherapy,Oncotarget,8,15,24506,2017,"Impact Journals, LLC",
"Serduc, Raphaël; Christen, Thomas; Laissue, Jean; Farion, Régine; Bouchet, Audrey; van Der Sanden, Boudewijn; Segebarth, Christoph; Bräuer-Krisch, Elke; Le Duc, Géraldine; Bravin, Alberto; ",Brain tumor vessel response to synchrotron microbeam radiation therapy: a short-term in vivo study,Physics in Medicine & Biology,53,13,3609,2008,IOP Publishing,Pass
"Burrell, Jake S; Bradley, Robert S; Walker-Samuel, Simon; Jamin, Yann; Baker, Lauren CJ; Boult, Jessica KR; Withers, Philip J; Halliday, Jane; Waterton, John C; Robinson, Simon P; ",MRI measurements of vessel calibre in tumour xenografts: Comparison with vascular corrosion casting,Microvascular research,84,3,323-329,2012,Elsevier,
"Hu, Xiaowen; Kheirolomoom, Azadeh; Mahakian, Lisa M; Beegle, Julie R; Kruse, Dustin E; Lam, Kit S; Ferrara, Katherine W; ",Insonation of targeted microbubbles produces regions of reduced blood flow within tumor vasculature,Investigative radiology,47,7,398,2012,NIH Public Access,
"Stallcup, William B; You, Weon‐Kyoo; Kucharova, Karolina; Cejudo‐Martin, Pilar; Yotsumoto, Fusanori; ",NG2 proteoglycan‐dependent contributions of pericytes and macrophages to brain tumor vascularization and progression,Microcirculation,23,2,122-133,2016,Wiley Online Library,Review
"Tong, Ricky T; Boucher, Yves; Kozin, Sergey V; Winkler, Frank; Hicklin, Daniel J; Jain, Rakesh K; ",Vascular normalization by vascular endothelial growth factor receptor 2 blockade induces a pressure gradient across the vasculature and improves drug penetration in tumors,Cancer research,64,11,3731-3736,2004,AACR,Pass-too large value
"Gabriel, Emmanuel M; Fisher, Daniel; Kim, Minhyung; Powers, Colin; Visioni, Anthony; Muhitch, Jason; Skitzki, Joseph; ",Dynamic control of tumor vasculature with direct observation using intravital microscopy,Cancer Research,76,14_Supplement,4225-4225,2016,AACR,Pass-too large value
"Inai, Tetsuichiro; Mancuso, Michael; Hashizume, Hiroya; Baffert, Fabienne; Haskell, Amy; Baluk, Peter; Hu-Lowe, Dana D; Shalinsky, David R; Thurston, Gavin; Yancopoulos, George D; ","Inhibition of vascular endothelial growth factor (VEGF) signaling in cancer causes loss of endothelial fenestrations, regression of tumor vessels, and appearance of basement membrane ghosts",The American journal of pathology,165,1,35-52,2004,Elsevier,Pass
"Farrar, Christian T; Kamoun, Walid; Ley, Carsten D; Kim, Young R; Dai, Guangping; Rosen, Bruce R; Jain, Rakesh K; Sorensen, A Gregory; ",Edema control by anti-VEGF therapy prolongs survival despite persistent tumor growth in mice,,,,,,,
"Jain, Rakesh K; Safabakhsh, Nina; Sckell, Axel; Chen, Yi; Jiang, Ping; Benjamin, Laura; Yuan, Fan; Keshet, Eli; ","Endothelial cell death, angiogenesis, and microvascular function after castration in an androgen-dependent tumor: role of vascular endothelial growth factor",Proceedings of the National Academy of Sciences,95,18,10820-10825,1998,National Acad Sciences,
"Ryschich, Eduard; Schmidt, Eduard; Maksan, Sasa-Marcel; Klar, Ernst; Schmidt, Jan; ",Expansion of endothelial surface by an increase of vessel diameter during tumor angiogenesis in experimental hepatocellular and pancreatic cancer,World Journal of Gastroenterology: WJG,10,21,3171,2004,Baishideng Publishing Group Inc,
"Bertlich, Mattis; Ihler, Friedrich; Weiss, Bernhard G; Freytag, Saskia; Strupp, Michael; Canis, Martin; ",Cochlear pericytes are capable of reversibly decreasing capillary diameter in vivo after tumor necrosis factor exposure,Otology & Neurotology,38,10,e545-e550,2017,LWW,Pass-not mice
"Lagerweij, Tonny; Dusoswa, Sophie A; Negrean, Adrian; Hendrikx, Esther ML; de Vries, Helga E; Kole, Jeroen; Garcia-Vallejo, Juan J; Mansvelder, Huibert D; Vandertop, W Peter; Noske, David P; ",Optical clearing and fluorescence deep-tissue imaging for 3D quantitative analysis of the brain tumor microenvironment,Angiogenesis,20,,533-546,2017,Springer,
"Vakoc, Benjamin J; Lanning, Ryan M; Tyrrell, James A; Padera, Timothy P; Bartlett, Lisa A; Stylianopoulos, Triantafyllos; Munn, Lance L; Tearney, Guillermo J; Fukumura, Dai; Jain, Rakesh K; ",Three-dimensional microscopy of the tumor microenvironment in vivo using optical frequency domain imaging,Nature medicine,15,10,1219-1223,2009,Nature Publishing Group US New York,
"Mesquita, Rickson C; Han, Sung Wan; Miller, Joann; Schenkel, Steven S; Pole, Andrew; Esipova, Tatiana V; Vinogradov, Sergei A; Putt, Mary E; Yodh, Arjun G; Busch, Theresa M; ",Tumor blood flow differs between mouse strains: consequences for vasoresponse to photodynamic therapy,PLoS One,7,5,e37322,2012,"Public Library of Science San Francisco, USA",Read
"Qi, Ji; Sun, Chaowei; Zebibula, Abudureheman; Zhang, Hequn; Kwok, Ryan TK; Zhao, Xinyuan; Xi, Wang; Lam, Jacky WY; Qian, Jun; Tang, Ben Zhong; ",Real‐time and high‐resolution bioimaging with bright aggregation‐induced emission dots in short‐wave infrared region,Advanced materials,30,12,1706856,2018,Wiley Online Library,Cannot access
"Adapala, Ravi K; Thoppil, Roslin J; Ghosh, Kaustabh; Cappelli, HC; Dudley, Andrew C; Paruchuri, Sailaja; Keshamouni, Venkateshwar; Klagsbrun, Michael; Meszaros, J Gary; Chilian, William M; ",Activation of mechanosensitive ion channel TRPV4 normalizes tumor vasculature and improves cancer therapy,Oncogene,35,3,314-322,2016,Nature Publishing Group,Pass
"Zhou, Hui-Chao; Chen, Ningbo; Zhao, Huangxuan; Yin, Tinghui; Zhang, Jianhui; Zheng, Wei; Song, Liang; Liu, Chengbo; Zheng, Rongqin; ",Optical-resolution photoacoustic microscopy for monitoring vascular normalization during anti-angiogenic therapy,Photoacoustics,15,,100143,2019,Elsevier,
"Goel, Shom; Gupta, Nisha; Walcott, Brian P; Snuderl, Matija; Kesler, Cristina T; Kirkpatrick, Nathaniel D; Heishi, Takahiro; Huang, Yuhui; Martin, John D; Ager, Eleanor; ",Effects of vascular-endothelial protein tyrosine phosphatase inhibition on breast cancer vasculature and metastatic progression,Journal of the National Cancer Institute,105,16,1188-1201,2013,Oxford University Press US,Read
"Less, Joanne R; Skalak, Thomas C; Sevick, Eva M; Jain, Rakesh K; ",Microvascular architecture in a mammary carcinoma: branching patterns and vessel dimensions,Cancer research,51,1,265-273,1991,AACR,
"Gao, Jian-Li; Ji, Xing; He, Tong-Chuan; Zhang, Qi; He, Kai; Zhao, Yan; Chen, Su-Hong; Lv, Gui-Yuan; ",Tetrandrine suppresses cancer angiogenesis and metastasis in 4T1 tumor bearing mice,Evidence-Based Complementary and Alternative Medicine,2013,,,2013,Hindawi,Pass
"Nasarre, Patrick; Thomas, Markus; Kruse, Karoline; Helfrich, Iris; Wolter, Vivien; Deppermann, Carleen; Schadendorf, Dirk; Thurston, Gavin; Fiedler, Ulrike; Augustin, Hellmut G; ",Host-derived angiopoietin-2 affects early stages of tumor development and vessel maturation but is dispensable for later stages of tumor growth,Cancer research,69,4,1324-1333,2009,AACR,Pass-too large value
"Inoue, Yuta; Matsumoto, Yu; Toh, Kazuko; Miyano, Kazuki; Cabral, Horacio; Igarashi, Kazunori; Iwasaki, Shinichi; Kataoka, Kazunori; Yamasoba, Tatsuya; ",Manipulating dynamic tumor vessel permeability to enhance polymeric micelle accumulation,Journal of Controlled Release,329,,63-75,2021,Elsevier,Pass
"Ahirwar, Dinesh K; Nasser, Mohd W; Ouseph, Madhu M; Elbaz, Mohamad; Cuitiño, Maria C; Kladney, Raleigh D; Varikuti, Sanjay; Kaul, Kirti; Satoskar, Abhay R; Ramaswamy, Bhuvaneswari; ",Fibroblast-derived CXCL12 promotes breast cancer metastasis by facilitating tumor cell intravasation,Oncogene,37,32,4428-4442,2018,Nature Publishing Group UK London,
"Brown, Edward B; Campbell, Robert B; Tsuzuki, Yoshikazu; Xu, Lei; Carmeliet, Peter; Fukumura, Dai; Jain, Rakesh K; ","In vivo measurement of gene expression, angiogenesis and physiological function in tumors using multiphoton laser scanning microscopy",Nature medicine,7,7,864-868,2001,Nature Publishing Group,Pass
"VIVO, SUPPRESSES GLIOMA GROWTH IN; ",1. DEXAMETHASONE DECREASES RELATIVE CEREBRAL BLOOD VOLUME (RCBV) AND VESSEL DIAMETER IN 9L GLIOSARCOMA,,,,,,,Pass-abstract
"Giavazzi, Raffaella; Sennino, Barbara; Coltrini, Daniela; Garofalo, Angela; Dossi, Romina; Ronca, Roberto; Tosatti, Maria Pia Molinari; Presta, Marco; ",Distinct role of fibroblast growth factor-2 and vascular endothelial growth factor on tumor growth and angiogenesis,The American journal of pathology,162,6,1913-1926,2003,Elsevier,
"Zhu, Dan; Lu, Wei; Weng, Yang; Cui, Han; Luo, Qingming; ",Monitoring thermal-induced changes in tumor blood flow and microvessels with laser speckle contrast imaging,Applied optics,46,10,1911-1917,2007,Optica Publishing Group,Pass
"Gerber, SA; Moran, JP; Frelinger, JG; Frelinger, JA; Fenton, BM; Lord, EM; ",Mechanism of IL-12 mediated alterations in tumour blood vessel morphology: analysis using whole-tissue mounts,British journal of cancer,88,9,1453-1461,2003,Nature Publishing Group,
"Farrar, Christian T; Kamoun, Walid S; Ley, Carsten D; Kim, Young R; Kwon, Seon J; Dai, Guangping; Rosen, Bruce R; di Tomaso, Emmanuelle; Jain, Rakesh K; Sorensen, A Gregory; ",In vivo validation of MRI vessel caliber index measurement methods with intravital optical microscopy in a U87 mouse brain tumor model,Neuro-oncology,12,4,341-350,2010,Oxford University Press,
"Chen, Lin; Li, Jie; Wang, Fei; Dai, Chengliang; Wu, Fan; Liu, Xiaoman; Li, Taotao; Glauben, Rainer; Zhang, Yi; Nie, Guangjun; ",Tie2 expression on macrophages is required for blood vessel reconstruction and tumor relapse after chemotherapy,Cancer research,76,23,6828-6838,2016,AACR,
"Ryschich, Eduard; Schmidt, Jan; Hämmerling, Günter J; Klar, Ernst; Ganss, Ruth; ",Transformation of the microvascular system during multistage tumorigenesis,International journal of cancer,97,6,719-725,2002,Wiley Online Library,
"Chae, Sung-Suk; Kamoun, Walid S; Farrar, Christian T; Kirkpatrick, Nathaniel D; Niemeyer, Elisabeth; de Graaf, Annemarie MA; Sorensen, A Gregory; Munn, Lance L; Jain, Rakesh K; Fukumura, Dai; ",Angiopoietin-2 interferes with anti-VEGFR2–induced vessel normalization and survival benefit in mice bearing gliomas,Clinical Cancer Research,16,14,3618-3627,2010,AACR,
"Fukumura, Dai; Jain, Rakesh K; ",Role of nitric oxide in angiogenesis and microcirculation in tumors,Cancer and Metastasis Reviews,17,,77-89,1998,Springer,Review
"Tozer, Gillian M; Ameer-Beg, Simon M; Baker, Jennifer; Barber, Paul R; Hill, Sally A; Hodgkiss, Richard J; Locke, Rosalind; Prise, Vivien E; Wilson, Ian; Vojnovic, Borivoj; ",Intravital imaging of tumour vascular networks using multi-photon fluorescence microscopy,Advanced drug delivery reviews,57,1,135-152,2005,Elsevier,Review
"Matsumoto, Takeshi; Mukohara, Akihiro; ",Effects of whole-body vibration on breast cancer bone metastasis and vascularization in mice,Calcified Tissue International,111,5,535-545,2022,Springer,
"Zhang, Xi; Liu, Xiao-Song; Yang, Xin-Rong; Chen, Shao-Liang; Zhu, Pei-Ping; Yuan, Qing-Xi; ",Mouse blood vessel imaging by in-line x-ray phase-contrast imaging,Physics in Medicine & Biology,53,20,5735,2008,IOP Publishing,Pass-not tumor
"Kashiwagi, Satoshi; Izumi, Yotaro; Gohongi, Takeshi; Demou, Zoe N; Xu, Lei; Huang, Paul L; Buerk, Donald G; Munn, Lance L; Jain, Rakesh K; Fukumura, Dai; ",NO mediates mural cell recruitment and vessel morphogenesis in murine melanomas and tissue-engineered blood vessels,The Journal of clinical investigation,115,7,1816-1827,2005,Am Soc Clin Investig,
"Algenstaedt, Petra; Schaefer, Christian; Biermann, Tanja; Hamann, Andreas; Schwarzloh, Britta; Greten, Heiner; Ruther, Wolfgang; Hansen-Algenstaedt, Nils; ",Microvascular alterations in diabetic mice correlate with level of hyperglycemia,Diabetes,52,2,542-549,2003,Am Diabetes Assoc,
"You, Weon-Kyoo; Stallcup, William B; ",Localization of VEGF to vascular ECM is an important aspect of tumor angiogenesis,Cancers,9,8,97,2017,MDPI,Pass
"Le, Caroline P; Nowell, Cameron J; Kim-Fuchs, Corina; Botteri, Edoardo; Hiller, Jonathan G; Ismail, Hilmy; Pimentel, Matthew A; Chai, Ming G; Karnezis, Tara; Rotmensz, Nicole; ",Chronic stress in mice remodels lymph vasculature to promote tumour cell dissemination,Nature communications,7,1,10634,2016,Nature Publishing Group UK London,Pass
"Nielsen, Thomas; Bentzen, Lise; Pedersen, Michael; Tramm, Trine; Rijken, Paul FJW; Bussink, Johan; Horsman, Michael R; Østergaard, Leif; ",Combretastatin A-4 phosphate affects tumor vessel volume and size distribution as assessed using MRI-based vessel size imaging,Clinical Cancer Research,18,23,6469-6477,2012,AACR,
"Chang, Junlei; Mancuso, Michael R; Maier, Carolina; Liang, Xibin; Yuki, Kanako; Yang, LU; Kwong, Jeffrey W; Wang, Jing; Rao, Varsha; Vallon, Mario; ",Gpr124 is essential for blood–brain barrier integrity in central nervous system disease,Nature medicine,23,4,450-460,2017,Nature Publishing Group US New York,
"Beckermann, BM; Kallifatidis, Georgios; Groth, A; Frommhold, D; Apel, A; Mattern, J; Salnikov, AV; Moldenhauer, G; Wagner, W; Diehlmann, A; ",VEGF expression by mesenchymal stem cells contributes to angiogenesis in pancreatic carcinoma,British journal of cancer,99,4,622-631,2008,Nature Publishing Group,
"Jugold, Manfred; Palmowski, Moritz; Huppert, Jochen; Woenne, Eva C; Mueller, Margareta M; Semmler, Wolfhard; Kiessling, Fabian; ",Volumetric high-frequency Doppler ultrasound enables the assessment of early antiangiogenic therapy effects on tumor xenografts in nude mice,European radiology,18,,753-758,2008,Springer,Pass
"Van Leeuwen-van Zaane, F; de Bruijn, HS; Sterenborg, HJMC; Robinson, DJ; ",The effect of fluence rate on the acute response of vessel diameter and red blood cell velocity during topical 5-aminolevulinic acid photodynamic therapy,Photodiagnosis and Photodynamic Therapy,11,2,71-81,2014,Elsevier,Pass
"Jain, Rakesh K; Munn, Lance L; Fukumura, Dai; ",Measuring angiogenesis and hemodynamics in mice,Cold Spring Harbor protocols,2013,4,pdb. prot073916,2013,Cold Spring Harbor Laboratory Press,Pass
"Kording, Fabian; Weidensteiner, Claudia; Zwick, Stefan; Osterberg, Nadja; Weyerbrock, Astrid; Staszewski, Ori; von Elverfeldt, Dominik; Reichardt, Wilfried; ","Simultaneous assessment of vessel size index, relative blood volume, and vessel permeability in a mouse brain tumor model using a combined spin echo gradient echo echo‐planar imaging sequence and viable tumor analysis",Journal of Magnetic Resonance Imaging,40,6,1310-1318,2014,Wiley Online Library,Pass
"Duong, Tam; Proulx, Steven T; Luciani, Paola; Leroux, Jean-Christophe; Detmar, Michael; Koopman, Peter; Francois, Mathias; ",Genetic ablation of SOX18 function suppresses tumor lymphangiogenesis and metastasis of melanoma in mice,Cancer research,72,12,3105-3114,2012,AACR,
"Maione, Federica; Giraudo, Enrico; ",Tumor angiogenesis: methods to analyze tumor vasculature and vessel normalization in mouse models of cancer,Mouse Models of Cancer: Methods and Protocols,,,349-365,2015,Springer,Pass-protocol
"Stylianopoulos, Triantafyllos; Jain, Rakesh K; ",Combining two strategies to improve perfusion and drug delivery in solid tumors,Proceedings of the National Academy of Sciences,110,46,18632-18637,2013,National Acad Sciences,Pass
"Duda, Dan G; Cohen, Kenneth S; Kozin, Sergey V; Perentes, Jean Y; Fukumura, Dai; Scadden, David T; Jain, Rakesh K; ",Evidence for incorporation of bone marrow–derived endothelial cells into perfused blood vessels in tumors,Blood,107,7,2774-2776,2006,American Society of Hematology,Pass
"Li, Zhe; Huang, Hui; Boland, Patricia; Dominguez, Melissa G; Burfeind, Patricia; Lai, Ka-Man; Lin, Hsin-Chieh; Gale, Nicholas W; Daly, Christopher; Auerbach, Wojtek; ",Embryonic stem cell tumor model reveals role of vascular endothelial receptor tyrosine phosphatase in regulating Tie2 pathway in tumor angiogenesis,Proceedings of the National Academy of Sciences,106,52,22399-22404,2009,National Acad Sciences,
"Koyama, Satoshi; Matsunaga, Shinji; Imanishi, Masaki; Maekawa, Yoichi; Kitano, Hiroya; Takeuchi, Hiromi; Tomita, Shuhei; ",Tumour blood vessel normalisation by prolyl hydroxylase inhibitor repaired sensitivity to chemotherapy in a tumour mouse model,Scientific Reports,7,1,45621,2017,Nature Publishing Group UK London,Read
"Chandana, Ediriweera PS; Maeda, Yasuhiro; Ueda, Akihiko; Kiyonari, Hiroshi; Oshima, Naoko; Yamamoto, Mako; Kondo, Shunya; Oh, Junseo; Takahashi, Rei; Yoshida, Yoko; ",Involvement of the Reck tumor suppressor protein in maternal and embryonic vascular remodeling in mice,BMC developmental biology,10,1,13-Jan,2010,BioMed Central,Pass
"Gohongi, Takeshi; Fukumura, Dai; Boucher, Yves; Yun, Chae-Ok; Soff, Gerald A; Compton, Carolyn; Todoroki, Takeshi; Jain, Rakesh K; ",Tumor–host interactions in the gallbladder suppress distal angiogenesis and tumor growth: involvement of transforming growth factor β1,Nature medicine,5,10,1203-1208,1999,Nature Publishing Group,
"Forster, Jake C; Harriss-Phillips, Wendy M; Douglass, Michael JJ; Bezak, Eva; ",A review of the development of tumor vasculature and its effects on the tumor microenvironment,Hypoxia,,,21-32,2017,Taylor & Francis,Review
"Bouvard, Claire; Segaoula, Zacharie; De Arcangelis, Adèle; Galy-Fauroux, Isabelle; Mauge, Laetitia; Fischer, Anne-Marie; Georges-Labouesse, Elisabeth; Helley, Dominique; ",Tie2-dependent deletion of α6 integrin subunit in mice reduces tumor growth and angiogenesis,International Journal of Oncology,45,5,2058-2064,2014,Spandidos Publications,
"Erber, Ralf; Thurnher, Andreas; D. Katsen, Alice; Groth, Gesine; Kerger, Heinz; Hammes, Hans‐Peter; D. Menger, Michael; Ullrich, Axel; Vajkoczy, Peter; ",Combined inhibition of VEGF‐and PDGF‐signaling enforces tumor vessel regression by interfering with pericyte‐mediated endothelial cell survival mechanisms,The FASEB journal,18,2,25-Jan,2004,Wiley Online Library,
"Braun, Jennifer; Strittmatter, Karin; Nübel, Tobias; Komljenovic, Dorde; Sator‐Schmitt, Melanie; Bäuerle, Tobias; Angel, Peter; Schorpp‐Kistner, Marina; ",Loss of stromal JUNB does not affect tumor growth and angiogenesis,International journal of cancer,134,6,1511-1516,2014,Wiley Online Library,
"Fukumura, DAI; Duda, Dan G; Munn, Lance L; Jain, Rakesh K; ",Tumor microvasculature and microenvironment: novel insights through intravital imaging in pre‐clinical models,Microcirculation,17,3,206-225,2010,Wiley Online Library,Review
"Carmeliet, Peter; Dor, Yuval; Herbert, Jean-Marc; Fukumura, Dai; Brusselmans, Koen; Dewerchin, Mieke; Neeman, Michal; Bono, Francoise; Abramovitch, Rinat; Maxwell, Patrick; ","Role of HIF-1α in hypoxia-mediated apoptosis, cell proliferation and tumour angiogenesis",Nature,394,6692,485-490,1998,Nature Publishing Group UK London,
"Kashiwagi, Satoshi; Tsukada, Kosuke; Xu, Lei; Miyazaki, Junichi; Kozin, Sergey V; Tyrrell, James A; Sessa, William C; Gerweck, Leo E; Jain, Rakesh K; Fukumura, Dai; ",Perivascular nitric oxide gradients normalize tumor vasculature,Nature medicine,14,3,255-257,2008,Nature Publishing Group US New York,
"Borgström, Per; Hillan, Kenneth J; Sriramarao, Pragada; Ferrara, Napolenone; ",Complete inhibition of angiogenesis and growth of microtumors by anti-vascular endothelial growth factor neutralizing antibody: novel concepts of angiostatic therapy from intravital videomicroscopy,Cancer research,56,17,4032-4039,1996,AACR,
"Andleeb, Farah; Katta, Nitesh; Gruslova, Aleksandra; Muralidharan, Bharadwaj; Estrada, Arnold; McElroy, Austin B; Ullah, Hafeez; Brenner, Andrew J; Milner, Thomas E; ",Differentiation of brain tumor microvasculature from normal vessels using optical coherence angiography,Lasers in Surgery and Medicine,53,10,1386-1394,2021,Wiley Online Library,
