Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Note
"Frank, Robert N; Keirn, Richard J; Kennedy, Alexander; Frank, Karni W; ",Galactose-induced retinal capillary basement membrane thickening: prevention by Sorbinil.,Investigative ophthalmology & visual science,24,11,1519-1524,1983,The Association for Research in Vision and Ophthalmology,
"Roy, Sayon; Ha, John; Trudeau, Kyle; Beglova, Ekaterina; ",Vascular basement membrane thickening in diabetic retinopathy,Current eye research,35,12,1045-1056,2010,Taylor & Francis,Read
"Miyamura, Noritake; Bhutto, Imran Ahmed; Amemiya, Tsugio; ",Retinal Capillary Changes in Otsuka Long-Evans Tokushima Fatty Rats (Spontaneously Diabetic Strain) Electron-Microscopic Study,Ophthalmic research,31,5,358-366,1999,"S. Karger AG Basel, Switzerland",Cannot access
"Vinores, Stanley A; Campochiaro, Peter A; May, Estelle E; Blaydes, Stephen H; ",Progressive ultrastructural damage and thickening of the basement membrane of the retinal pigment epithelium in spontaneously diabetic BB rats,Experimental eye research,46,4,545-558,1988,Elsevier,Pass-Basal laminae (but in text BM?)
"Hughes, Suzanne; Gardiner, Tom; Hu, Ping; Baxter, Louise; Rosinova, Emelia; Chan-Ling, Tailoi; ",Altered pericyte–endothelial relations in the rat retina during aging: implications for vessel stability,Neurobiology of aging,27,12,1838-1847,2006,Elsevier,BM mentioned. No values are reported
"Hicks, P; Rolsten, C; Brizzee, D; Samorajski, T; ",Age-related changes in rat brain capillaries,Neurobiology of aging,4,1,69-75,1983,Elsevier,Pass-Cross-sectional area
"Li, Qiuhong; Verma, Amrisha; Han, Ping-yang; Nakagawa, Takahiko; Johnson, Richard J; Grant, Maria B; Campbell-Thompson, Martha; Jarajapu, Yagna PR; Lei, Bo; Hauswirth, William W; ",Diabetic eNOS-knockout mice develop accelerated retinopathy,Investigative ophthalmology & visual science,51,10,5240-5246,2010,The Association for Research in Vision and Ophthalmology,Let's include in flow chart
"Brown, William R; ","A review of string vessels or collapsed, empty basement membrane tubes",Journal of Alzheimer's disease,21,3,725-739,2010,IOS Press,Review article
"Stitt, AW; Anderson, HR; Gardiner, TA; Archer, DB; ",Diabetic retinopathy: quantitative variation in capillary basement membrane thickening in arterial or venous environments.,British journal of ophthalmology,78,2,133-137,1994,BMJ Publishing Group Ltd,Didn't include because it's not about mice
"Das, Arup; Frank, Robert N; Zhang, Nancy L; Samadani, Elham; ",Increases in collagen type IV and laminin in galactose-induced retinal capillary basement membrane thickening—prevention by an aldose reductase inhibitor,Experimental eye research,50,3,269-280,1990,Elsevier,
"Gupta, Suresh Kumar; Kumar, Binit; Nag, Tapas Chandra; Agrawal, Shyam Sunder; Agrawal, Renu; Agrawal, Puneet; Saxena, Rohit; Srivastava, Sushma; ","Curcumin prevents experimental diabetic retinopathy in rats through its hypoglycemic, antioxidant, and anti-inflammatory mechanisms",Journal of Ocular Pharmacology and Therapeutics,27,2,123-130,2011,"Mary Ann Liebert, Inc. 140 Huguenot Street, 3rd Floor New Rochelle, NY 10801 USA",Cannot access
"Sima, AAF; Chakrabarti, S; Tze, WJ; Tai, J; ",Pancreatic islet allograft prevents basement membrane thickening in the diabetic rat retina,Diabetologia,31,,175-181,1988,Springer,
"Clements Jr, Rex S; Robison Jr, W Gerald; Cohen, Margo P; ",Anti-glycated albumin therapy ameliorates early retinal microvascular pathology in db/db mice,Journal of Diabetes and its Complications,12,1,28-33,1998,Elsevier,
"Ruberte, Jesús; Ayuso, Eduard; Navarro, Marc; Carretero, Ana; Nacher, Víctor; Haurigot, Virginia; George, Mónica; Llombart, Cristina; Casellas, Alba; Costa, Cristina; ",Increased ocular levels of IGF-1 in transgenic mice lead to diabetes-like eye disease,The Journal of clinical investigation,113,8,1149-1157,2004,Am Soc Clin Investig,
"Das, A; Frank, RN; Zhang, NL; ",Sorbinil does not prevent galactose-induced glomerular capillary basement membrane thickening in the rat,Diabetologia,33,,515-521,1990,Springer,
"Chakrabarti, Subrata; Ma, N; Sima, Anders AF; ",Anionic sites in diabetic basement membranes and their possible role in diffusion barrier abnormalities in the BB-rat,Diabetologia,34,,301-306,1991,Springer,
"Chakrabarti, Subrata; Cherian, P Varghese; Sima, Anders AF; ",The effect of acarbose on diabetes-and age-related basement membrane thickening in retinal capillaries of the BBW-rat,Diabetes research and clinical practice,20,2,123-128,1993,Elsevier,
"Kuwabara, Toichiro; Cogan, David G; ",Retinal vascular patterns: VI. Mural cells of the retinal capillaries,Archives of Ophthalmology,69,4,492-502,1963,American Medical Association,Pass
"Nagata, M; Katz, ML; Robison, WG; ",Age-related thickening of retinal capillary basement membranes.,Investigative ophthalmology & visual science,27,3,437-440,1986,The Association for Research in Vision and Ophthalmology,Reported Mean±?? without sample size
"Abari, E; Kociok, N; Hartmann, U; Semkova, I; Paulsson, M; Lo, A; Joussen, AM; ",Alterations in basement membrane immunoreactivity of the diabetic retina in three diabetic mouse models,Graefe's Archive for Clinical and Experimental Ophthalmology,251,,763-775,2013,Springer,Pass
"Frank, Robert N; ",Aldose reductase activity and basement membrane thickening,Metabolism,35,4,35-40,1986,Elsevier,
"Beauchemin, ML; Leuenberger, PM; Babel, J; ",Retinal capillary basement membrane thickness in spiny mice (Acomys cahirinus) with induced and spontaneous diabetes.,Investigative Ophthalmology & Visual Science,14,7,560-562,1975,The Association for Research in Vision and Ophthalmology,Pass
"Yagihashi, Soroku; ",Quantitative estimation of age-related thickening of glomerular basement membrane in normal rats,The Tohoku Journal of Experimental Medicine,126,1,85-93,1978,Tohoku University Medical Press,Read
"Stitt, Alan W; Li, Yong M; Gardiner, Thomas A; Bucala, Richard; Archer, Desmond B; Vlassara, Helen; ",Advanced glycation end products (AGEs) co-localize with AGE receptors in the retinal vasculature of diabetic and of AGE-infused rats.,The American journal of pathology,150,2,523,1997,American Society for Investigative Pathology,Pass
"Tang, J; Mohr, S; Du, Y-P; Kern, TS; ",Non-uniform distribution of lesions and biochemical abnormalities within the retina of diabetic humans,Current eye research,27,1,13-Jul,2003,Taylor & Francis,Human
"Obrosova, IG; Drel, VR; Kumagai, AK; Szabo, C; Pacher, P; Stevens, MJ; ",Early diabetes-induced biochemical changes in the retina: comparison of rat and mouse models,Diabetologia,49,,2525-2533,2006,Springer,Pass
"Kowluru, Renu A; ",Retinal metabolic abnormalities in diabetic mouse: comparison with diabetic rat,Current eye research,24,2,123-128,2002,Taylor & Francis,Pass
"YANG, YI-SHUANG; DANIS, RONALD P; PETERSON, RICHARD G; DOLAN, PATRICIA L; WU, YAN-QIN; ",Acarbose partially inhibits microvascular retinopathy in the zucker diabetic fatty rat (ZDF/GmiTM-fa),Journal of ocular pharmacology and therapeutics,16,5,471-479,2000,,Cannot access
"Nakahara, Tsutomu; Hoshino, Maya; Hoshino, Shin-ichiro; Mori, Asami; Sakamoto, Kenji; Ishii, Kunio; ",Structural and functional changes in retinal vasculature induced by retinal ischemia-reperfusion in rats,Experimental eye research,135,,134-145,2015,Elsevier,No data reported
"Bosco, AA; Lerario, AC; Santos, RF; Wajchenberg, BL; ",Effect of thalidomide and rosiglitazone on the prevention of diabetic retinopathy in streptozotocin-induced diabetic rats,Diabetologia,46,,1669-1675,2003,Springer,
"Papachristodoulou, Despina; Heath, Harold; ",Ultrastructural alterations during the development of retinopathy in sucrose-fed and streptozotocin-diabetic rats,Experimental Eye Research,25,4,371-384,1977,Elsevier,
"Candiello, Joseph; Balasubramani, Manimalha; Schreiber, Emmanuel M; Cole, Gregory J; Mayer, Ulrike; Halfter, Willi; Lin, Hai; ",Biomechanical properties of native basement membranes,The FEBS journal,274,11,2897-2908,2007,Wiley Online Library,Didn't include because it's not about mice
"Kumar, Binit; Gupta, Suresh Kumar; Srinivasan, BP; Nag, Tapas Chandra; Srivastava, Sushma; Saxena, Rohit; Jha, Kumar Abhiram; ","Hesperetin rescues retinal oxidative stress, neuroinflammation and apoptosis in diabetic rats",Microvascular Research,87,,65-74,2013,Elsevier,
"Candiello, Joseph; Cole, Gregory J; Halfter, Willi; ","Age-dependent changes in the structure, composition and biophysical properties of a human basement membrane",Matrix biology,29,5,402-410,2010,Elsevier,Human
"Dongare, Shirish; Gupta, Suresh K; Mathur, Rajani; Saxena, Rohit; Mathur, Sandeep; Agarwal, Renu; Nag, Tapas C; Srivastava, Sushma; Kumar, Pankaj; ",Zingiber officinale attenuates retinal microvascular changes in diabetic rats via anti-inflammatory and antiangiogenic mechanisms,Molecular Vision,22,,599,2016,Emory University,Reported Mean±SD without sample size
"Lash, Julia M; Sherman, William M; Hamlin, Robert L; ",Capillary basement membrane thickness and capillary density in sedentary and trained obese Zucker rats,Diabetes,38,7,854-860,1989,Am Diabetes Assoc,Read
"Kowluru, Renu A; Tang, Jie; Kern, Timothy S; ",Abnormalities of retinal metabolism in diabetes and experimental galactosemia: VII. Effect of long-term administration of antioxidants on the development of retinopathy,Diabetes,50,8,1938-1942,2001,Am Diabetes Assoc,Pass
"Lu, Zhong-Yang; Bhutto, Imran Ahmed; Amemiya, Tsugio; ",Retinal changes in Otsuka long-evans Tokushima Fatty rats (spontaneously diabetic rat)—possibility of a new experimental model for diabetic retinopathy,Japanese journal of ophthalmology,47,1,28-35,2003,Elsevier,Cannot access
"Cuthbertson, RA; Mandel, TE; ",Anatomy of the mouse retina. Capillary basement membrane thickness,Investigative ophthalmology & visual science,27,11,1653-1658,1986,The Association for Research in Vision and Ophthalmology,Read
"Ueda, Kaori; Nakahara, Tsutomu; Hoshino, Maya; Mori, Asami; Sakamoto, Kenji; Ishii, Kunio; ",Retinal blood vessels are damaged in a rat model of NMDA-induced retinal degeneration,Neuroscience letters,485,1,55-59,2010,Elsevier,Pass
"Bairati Jr, A; Orzalesi, N; ",The ultrastructure of the pigment epithelium and of the photoreceptor-pigment epithelium junction in the human retina,Journal of ultrastructure research,9,6-May,484-496,1963,Elsevier,Human
"Rodrigues, M; Currier, C; Yoon, J; ",Electron microscopy of renal and ocular changes in virus-induced diabetes mellitus in mice,Diabetologia,24,,293-299,1983,Springer,Read
"Zheng, Zhi; Chen, Haibing; Xu, Xun; Li, Chunxia; Gu, Qing; ",Effects of angiotensin-converting enzyme inhibitors and β-adrenergic blockers on retinal vascular endothelial growth factor expression in rat diabetic retinopathy,Experimental eye research,84,4,745-752,2007,Elsevier,Reported Mean±SD without sample size
"Leuenberger, P; Cameron, D; Stauffacher, W; Renold, AE; Babel, J; ",Ocular lesions in rats rendered chronically diabetic with streptozotocin,Ophthalmic Research,2,4-Mar,189-204,1971,S. Karger AG,Cannot access
"Danis, Ronald P; Yang, Yishaung; ",Microvascular retinopathy in the Zucker diabetic fatty rat,Investigative ophthalmology & visual science,34,7,2367-2371,1993,The Association for Research in Vision and Ophthalmology,Read
"Martinez-Hernandez, A; Chung, AE; ",The ultrastructural localization of two basement membrane components: entactin and laminin in rat tissues.,Journal of Histochemistry & Cytochemistry,32,3,289-298,1984,"SAGE Publications Sage CA: Los Angeles, CA",Pass
"Siperstein, MD; Unger, Roger H; Madison, LL; ","Studies of muscle capillary basement membranes in normal subjects, diabetic, and prediabetic patients",The Journal of clinical investigation,47,9,1973-1999,1968,Am Soc Clin Investig,Human
"Bruns, Romaine R; Palade, George E; ",Studies on blood capillaries: I. General organization of blood capillaries in muscle,The Journal of cell biology,37,2,244-276,1968,Rockefeller University Press,Cannot access
"Peters, Barry P; Goldstein, Irwin J; ",The use of fluorescein-conjugated Bandeiraea simplicifolia B4-isolectin as a histochemical reagent for the detection of α-d-galactopyranosyl groups: Their occurrence in basement membranes,Experimental cell research,120,2,321-334,1979,Elsevier,Pass
"Gül, Nursel; Özsoy, Nesrin; ",The ultrastructure of the capillaries in the gingiva of alloxan‐induced diabetic rats,Cell Biochemistry and Function: Cellular biochemistry and its modulation by active agents or disease,21,4,311-315,2003,Wiley Online Library,Let's include in flow chart
"Dym, Martin; ",Basement membrane regulation of Sertoli cells,Endocrine reviews,15,1,102-115,1994,Oxford University Press,Review article
"Leuenberger, PM; Babel, J; Full, C; ",Width of retinal capillary basement membrane of spiny mice (Acomy cahirinus) at various ages,Documenta Ophthalmologica,28,1,191-200,1970,Springer,Cannot access
"Camastra, Stefania; Vitali, Alessandra; Anselmino, Marco; Gastaldelli, Amalia; Bellini, Rosario; Berta, Rossana; Severi, Ilenia; Baldi, Simona; Astiarraga, Brenno; Barbatelli, Giorgio; ","Muscle and adipose tissue morphology, insulin sensitivity and beta-cell function in diabetic and nondiabetic obese patients: effects of bariatric surgery",Scientific reports,7,1,9007,2017,Nature Publishing Group UK London,Human
"Umek, Nejc; Horvat, Simon; Cvetko, Erika; Kreft, Marko; Janáček, Jiří; Kubínová, Lucie; Stopar Pintarič, Tatjana; Eržen, Ida; ",3D analysis of capillary network in skeletal muscle of obese insulin-resistant mice,Histochemistry and Cell Biology,152,,323-331,2019,Springer,Pass
"Itabashi, Hiroshi; Ohneda, Akira; Iimura, Yasuo; ",Thickening of basement membrane of muscle capillary in spontaneously diabetic KK mice,The Tohoku Journal of Experimental Medicine,133,3,339-348,1981,Tohoku University Medical Press,
"Baum, Oliver; Bigler, Marius; ",Pericapillary basement membrane thickening in human skeletal muscles,American Journal of Physiology-Heart and Circulatory Physiology,311,3,H654-H666,2016,"American Physiological Society Bethesda, MD",Human
"Williams, Ian M; McClatchey, P Mason; Bracy, Deanna P; Bonner, Jeffrey S; Valenzuela, Francisco A; Wasserman, David H; ",Transendothelial insulin transport is impaired in skeletal muscle capillaries of obese male mice,Obesity,28,2,303-314,2020,Wiley Online Library,Read
"Kawaguchi, Nobuko; Toriyama, Kazuhiro; Nicodemou-Lena, Eleni; Inou, Kazuhiko; Torii, Shuhei; Kitagawa, Yasuo; ",De novo adipogenesis in mice at the site of injection of basement membrane and basic fibroblast growth factor,Proceedings of the National Academy of Sciences,95,3,1062-1066,1998,National Acad Sciences,Pass
"Bloodworth Jr, JMB; Engerman, RL; Camerini-Davalos, RA; Powers, KL; ",Variations in capillary basement membrane width produced by aging and diabetes mellitus,Early diabetes,,,279-295,1970,,Read
"Nowicki, Marcin; Kosacka, Joanna; Serke, Heike; Blüher, Matthias; Spanel‐Borowski, Katharina; ","Altered sciatic nerve fiber morphology and endoneural microvessels in mouse models relevant for obesity, peripheral diabetic polyneuropathy, and the metabolic syndrome",Journal of neuroscience research,90,1,122-131,2012,Wiley Online Library,Reported different unit
"Charonis, Aristidis S; Wissig, Steven L; ",Anionic sites in basement membranes. Differences in their electrostatic properties in continuous and fenestrated capillaries,Microvascular Research,25,3,265-285,1983,Elsevier,Pass
"Bishop, Joseph R; Passos-Bueno, Maria Rita; Fong, Loren; Stanford, Kristin I; Gonzales, Jon C; Yeh, Erika; Young, Stephen G; Bensadoun, Andre; Witztum, Joseph L; Esko, Jeffrey D; ",Deletion of the basement membrane heparan sulfate proteoglycan type XVIII collagen causes hypertriglyceridemia in mice and humans,PloS one,5,11,e13919,2010,"Public Library of Science San Francisco, USA",Pass
"Hayden, Melvin R; Sowers, James R; Tyagi, Suresh C; ",The central role of vascular extracellular matrix and basement membrane remodeling in metabolic syndrome and type 2 diabetes: the matrix preloaded,Cardiovascular diabetology,4,,20-Jan,2005,Springer,Review article
"Creutzfeldt, W; Mende, D; Willms, B; Söling, HD; ",Vascular basement membrane thickness in muscle of spiny mice and activities of glycolysis and gluconeogenesis in the liver of animals with spontaneous and experimental diabetes and of untreated human diabetics,Diabetologia,6,,356-360,1970,Springer,Read
"Hudkins, Kelly L; Pichaiwong, Warangkana; Wietecha, Tomasz; Kowalewska, Jolanta; Banas, Miriam C; Spencer, Min W; Mühlfeld, Anja; Koelling, Mariko; Pippin, Jeffrey W; Shankland, Stuart J; ",BTBR Ob/Ob mutant mice model progressive diabetic nephropathy,Journal of the American Society of Nephrology: JASN,21,9,1533,2010,American Society of Nephrology,
"Gonet, Alain E; Stauffacher, Werner; Pictet, Raymond; Renold, Albert E; ",Obesity and diabetes mellitus with striking congenital hyperplasia of the islets of langerhans in spiny mice (Acomys Cahirinus) I. Histological findings and preliminary metabolic observations,Diabetologia,1,4-Mar,162-171,1966,Springer,No data reported
"Siperstein, MD; ",The relationship of carbohydrate derangements to the microangiopathy of diabetes,"Proceedings of the Noble Symposium XIII on the pathogenesis of diabetes mellitus, New York",,,81-122,1970,,Cannot access
"Uezumi, Akiyoshi; Fukada, So-ichiro; Yamamoto, Naoki; Takeda, Shin'ichi; Tsuchida, Kunihiro; ",Mesenchymal progenitors distinct from satellite cells contribute to ectopic fat cell formation in skeletal muscle,Nature cell biology,12,2,143-152,2010,Nature Publishing Group UK London,Pass
"Mauer, S Michael; Steffes, Michael W; Brown, David M; ",The kidney in diabetes,The American journal of medicine,70,3,603-612,1981,Elsevier,Review article
"Smith, Timothy L; Raynor, Eileen; Prazma, Jiri; Buenting, John E; Pillsbury, Harold C; ",Insulin‐dependent diabetic microangiopathy in the inner ear,The Laryngoscope,105,3,236-240,1995,Wiley Online Library,Different organ
"Thyboll, Jill; Kortesmaa, Jarkko; Cao, Renhai; Soininen, Raija; Wang, Ling; Iivanainen, Antti; Sorokin, Lydia; Risling, Mårten; Cao, Yihai; Tryggvason, Karl; ",Deletion of the laminin α4 chain leads to impaired microvessel maturation,Molecular and cellular biology,22,4,1194-1202,2002,Taylor & Francis,Pass
"Shafrir, Eleazar; ",Contribution of animal models to the research of the causes of diabetes,World journal of diabetes,1,5,137,2010,Baishideng Publishing Group Inc,Review article
"Thomsen, Maj S; Routhe, Lisa J; Moos, Torben; ",The vascular basement membrane in the healthy and pathological brain,Journal of Cerebral Blood Flow & Metabolism,37,10,3300-3317,2017,"SAGE Publications Sage UK: London, England",Read
"Horton, William B; Barrett, Eugene J; ",Microvascular dysfunction in diabetes mellitus and cardiometabolic disease,Endocrine reviews,42,1,29-55,2021,Oxford University Press US,Review article
"Kanamori, Hiromitsu; Naruse, Genki; Yoshida, Akihiro; Minatoguchi, Shingo; Watanabe, Takatomo; Kawaguchi, Tomonori; Tanaka, Toshiki; Yamada, Yoshihisa; Takasugi, Hironobu; Mikami, Atsushi; ",Morphological characteristics in diabetic cardiomyopathy associated with autophagy,Journal of Cardiology,77,1,30-40,2021,Elsevier,Review article
"Yurchenco, Peter D; ",Basement membranes: cell scaffoldings and signaling platforms,Cold Spring Harbor perspectives in biology,3,2,a004911,2011,Cold Spring Harbor Lab,Review article
"Flyvbjerg, Allan; Dagnæs-Hansen, Frederik; De Vriese, An S; Schrijvers, Bieke F; Tilton, Ronald G; Rasch, Ruth; ",Amelioration of long-term renal changes in obese type 2 diabetic mice by a neutralizing vascular endothelial growth factor antibody,Diabetes,51,10,3090-3094,2002,Am Diabetes Assoc,
"Ziyadeh, Fuad N; ",Renal tubular basement membrane and collagen type IV in diabetes mellitus,Kidney international,43,1,114-120,1993,Elsevier,Review article
"Phillips, Aled O; Baboolal, Keshwar; Riley, Stephen; Gröne, Hermann; Janssen, Ulf; Steadman, Robert; Williams, John; Floege, Jürgen; ",Association of prolonged hyperglycemia with glomerular hypertrophy and renal basement membrane thickening in the Goto Kakizaki model of non–insulin-dependent diabetes mellitus,American Journal of Kidney Diseases,37,2,400-410,2001,Elsevier,
"Yi, Chun-Xia; Gericke, Martin; Krüger, Martin; Alkemade, Anneke; Kabra, Dhiraj G; Hanske, Sophie; Filosa, Jessica; Pfluger, Paul; Bingham, Nathan; Woods, Stephen C; ",High calorie diet triggers hypothalamic angiopathy,Molecular metabolism,1,2-Jan,95-100,2012,Elsevier,Pass
"Hawkes, Cheryl A; Härtig, Wolfgang; Kacza, Johannes; Schliebs, Reinhard; Weller, Roy O; Nicoll, James A; Carare, Roxana O; ",Perivascular drainage of solutes is impaired in the ageing mouse brain and in the presence of cerebral amyloid angiopathy,Acta neuropathologica,121,,431-443,2011,Springer,Pass
"Jayadev, Ranjay; Sherwood, David R; ",Basement membranes,Current Biology,27,6,R207-R211,2017,Elsevier,Review article
"Lin, Jen H; Duffy, John L; Roginsky, Martin S; ",Microcirculation in diabetes mellitus: A study of gingival biopsies,Human pathology,6,1,77-96,1975,Elsevier,Human
"Kalluri, Raghu; ","Basement membranes: structure, assembly and role in tumour angiogenesis",Nature Reviews Cancer,3,6,422-433,2003,Nature Publishing Group UK London,Review article
"Nakae, S; Tachibana, M; ",The cochlea of the spontaneously diabetic mouse: II. Electron microscopic observations of non-obese diabetic mice,Archives of oto-rhino-laryngology,243,,313-316,1986,Springer,Cannot access
"Stepp, David W; De Chantemele, Eric J Belin; ",Structural remodeling in the limb circulation: impact of obesity and diabetes,Microcirculation,14,5-Apr,311-316,2007,Taylor & Francis,Review article
"Ehrenreich, Theodore; Susuki, Yasunosuke; Churg, Jacob; Oppermann, Werner; Camerini-Dávalos, Rafael A; ",Ultrastructure of glomerular lesions in KK mice,Vascular and Neurological Changes in Early Diabetes,,,271-280,1973,Elsevier,Cannot access
"Bennett, H Stanley; Luft, John H; Hampton, James C; ",Morphological classifications of vertebrate blood capillaries,American Journal of Physiology-Legacy Content,196,2,381-390,1959,American Physiological Society,Pass
"Hayden, Melvin R; Yang, Ying; Habibi, Javad; Bagree, Sarika V; Sowers, James R; ",Pericytopathy: oxidative stress and impaired cellular longevity in the pancreas and skeletal muscle in metabolic syndrome and type 2 diabetes,Oxidative medicine and cellular longevity,3,5,290-303,2010,Hindawi,Review article
"Stapleton, Phoebe A; James, Milinda E; Goodwill, Adam G; Frisbee, Jefferson C; ",Obesity and vascular dysfunction,Pathophysiology,15,2,79-89,2008,Elsevier,Review article
"Calderón-Garcidueñas, Lilian; Reynoso-Robles, Rafael; Vargas-Martínez, Javier; Gómez-Maqueo-Chew, Aline; Pérez-Guillé, Beatriz; Mukherjee, Partha S; Torres-Jardón, Ricardo; Perry, George; Gónzalez-Maciel, Angélica; ",Prefrontal white matter pathology in air pollution exposed Mexico City young urbanites and their potential impact on neurovascular unit dysfunction and the development of Alzheimer's disease,Environmental research,146,,404-417,2016,Elsevier,Human
"Ahmad, Khurshid; Choi, Inho; Lee, Yong-Ho; ",Implications of skeletal muscle extracellular matrix remodeling in metabolic disorders: diabetes perspective,International journal of molecular sciences,21,11,3845,2020,MDPI,Review article
"Tran, Khanh-Van; Gealekman, Olga; Frontini, Andrea; Zingaretti, Maria Cristina; Morroni, Manrico; Giordano, Antonio; Smorlesi, Arianna; Perugini, Jessica; De Matteis, Rita; Sbarbati, Andrea; ",The vascular endothelium of the adipose tissue gives rise to both white and brown fat cells,Cell metabolism,15,2,222-229,2012,Elsevier,Pass
"Leclech, Claire; Natale, Carlo F; Barakat, Abdul I; ",The basement membrane as a structured surface–role in vascular health and disease,Journal of cell science,133,18,jcs239889,2020,The Company of Biologists Ltd,Read
"Altshuler, G; Ornoy, A; ",Thickness of renal glomerular capillary basement membrane in the offspring of diabetic rats fed a regular or high-sucrose diet,Cells Tissues Organs,126,4,237-239,1986,"S. Karger AG Basel, Switzerland",Read
"Diani, Arthur R; Sawada, Gerianne A; Zhang, Neng Y; Wyse, Beatrice M; Connell, Christina L; Vidmar, TJ; Connell, Mark A; ",The KKAy mouse: a model for the rapid development of glomerular capillary basement membrane thickening,Journal of Vascular Research,24,6,297-303,1987,S. Karger AG,Cannot access
"Cuthbertson, RA; Hopper, JL; Mandel, TE; ",Difference in effect of cultured fetal pancreas transplants on retinal and renal capillary basement membrane thickness in diabetic mice.,Transplantation,48,2,218-223,1989,,
"Shibata, MASAO; Kawanishi, ATSUKO; Kishi, TSUNEKI; Kobayashi, KAIZO; Kuno, TSUNEJI; Sasaki, MAKOTO; Yasuda, BUNJI; ",Inhibitory effect of elastase on the glomerular capillary basement membrane thickening of the experimental congenital diabetic mice (NSY mice),Nagoya J. med. Sci,43,,111-115,1981,,Reported Mean±?? without sample size
"Diani, Arthur R; Sawada, Gerianne A; Peterson, Tillie; Wyse, Beatrice M; Blanks, Margaret C; Vidmar, Thomas J; Gerritsen, George C; ",Systematic evaluation of microangiopathy in diabetic Chinese hamsters: I. Morphometric analysis of minimal glomerular basement membrane thickness in 11-to 15-and 19-to 23-month-old Chinese hamsters,Microvascular research,31,3,306-316,1986,Elsevier,
"Mac-Moune Lai, Fernand; Szeto, Cheuk-Chun; Choi, Paul CL; Ho, Kelvin KL; Tang, Nelson LS; Chow, Kai-Ming; Li, Philip KT; To, Ka-Fai; ",Isolate diffuse thickening of glomerular capillary basement membrane: a renal lesion in prediabetes?,Modern Pathology,17,12,1506-1512,2004,Nature Publishing Group,Human
"Guo, Min; Ricardo, Sharon D; Deane, James A; Shi, Ming; Cullen‐McEwen, Luise; Bertram, John F; ",A stereological study of the renal glomerular vasculature in the db/db mouse model of diabetic nephropathy,Journal of anatomy,207,6,813-821,2005,Wiley Online Library,
"Ellis, A; Grant, M; ",Lack of Nitric Oxide Results in Increased Glomerular Capillary Basement Membrane Thickness,Microscopy and Microanalysis,15,S2,852-853,2009,Cambridge University Press,Not a normal article. Reported Mean±?? without sample size
