Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Tomanek, Robert J; Holifield, Jennifer S; Reiter, Rebecca S; Sandra, Alexander; Lin, Jim J‐C; ",Role of VEGF family members and receptors in coronary vessel formation,Developmental dynamics: an official publication of the American Association of Anatomists,225,3,233-240,2002,Wiley Online Library
"Ferrara, Napoleone; Damico, Lisa; Shams, Naveed; Lowman, Henry; Kim, Robert; ","Development of ranibizumab, an anti–vascular endothelial growth factor antigen binding fragment, as therapy for neovascular age-related macular degeneration",Retina,26,8,859-870,2006,LWW
"Mabeta, Peace; Steenkamp, Vanessa; ",The VEGF/VEGFR axis revisited: Implications for cancer therapy,International Journal of Molecular Sciences,23,24,15585,2022,MDPI
"Kendrew, Jane; Eberlein, Cath; Hedberg, Brad; McDaid, Karen; Smith, Neil R; Weir, Hazel M; Wedge, Stephen R; Blakey, David C; Foltz, Ian; Zhou, Joe; ",An antibody targeted to VEGFR-2 Ig domains 4-7 inhibits VEGFR-2 activation and VEGFR-2–dependent angiogenesis without affecting ligand binding,Molecular Cancer Therapeutics,10,5,770-783,2011,AACR
"Iyer, Shalini; Acharya, K Ravi; ",Tying the knot: The cystine signature and molecular‐recognition processes of the vascular endothelial growth factor family of angiogenic cytokines,The FEBS journal,278,22,4304-4322,2011,Wiley Online Library
"Vempati, Prakash; Popel, Aleksander S; Mac Gabhann, Feilim; ",Formation of VEGF isoform-specific spatial distributions governing angiogenesis: computational analysis,BMC systems biology,5,1,1-25,2011,BioMed Central
"Awasthi, Niranjan; Schwarz, Margaret A; Verma, Varun; Cappiello, Clint; Schwarz, Roderich E; ",Endothelial monocyte activating polypeptide II interferes with VEGF-induced proangiogenic signaling,Laboratory investigation,89,1,38-46,2009,Elsevier
"Kaza, Elisabeth; Ablasser, Klemens; Poutias, Dimitrios; Griffiths, Eric R; Saad, Fawzy A; Hofstaetter, Jochen G; del Nido, Pedro J; Friehs, Ingeborg; ",Up-regulation of soluble vascular endothelial growth factor receptor-1 prevents angiogenesis in hypertrophied myocardium,Cardiovascular research,89,2,410-418,2011,Oxford University Press
"Takahashi, Hiroyuki; Shibuya, Masabumi; ",The vascular endothelial growth factor (VEGF)/VEGF receptor system and its role under physiological and pathological conditions,Clinical science,109,3,227-241,2005,Portland Press Ltd.
"Claesson-Welsh, L; ",Signal transduction by vascular endothelial growth factor receptors,Biochemical Society Transactions,31,1,20-24,2003,Portland Press Ltd.
"Hecker, Nikolai; Ahmed, Jessica; Von Eichborn, Joachim; Dunkel, Mathias; Macha, Karel; Eckert, Andreas; Gilson, Michael K; Bourne, Philip E; Preissner, Robert; ",SuperTarget goes quantitative: update on drug–target interactions,Nucleic acids research,40,D1,D1113-D1117,2012,Oxford University Press
"Olsson, Anna-Karin; Dimberg, Anna; Kreuger, Johan; Claesson-Welsh, Lena; ",VEGF receptor signalling? In control of vascular function,Nature reviews Molecular cell biology,7,5,359-371,2006,Nature Publishing Group UK London
"Li, D; Wei, X; Xie, K; Chen, K; Li, J; Fang, J; ",A novel decoy receptor fusion protein for FGF-2 potently inhibits tumour growth,British journal of cancer,111,1,68-77,2014,Nature Publishing Group
"Böldicke, Thomas; Tesar, Michael; Griesel, Carsten; Rohde, Manfred; Gröne, Hermann-Josef; Waltenberger, Johannes; Kollet, Orit; Lapidot, Tsvee; Yayon, Avner; Weich, Herbert; ",Anti-VEGFR-2 scFvs for cell isolation. Single-chain antibodies recognizing the human vascular endothelial growth factor receptor-2 (VEGFR-2/flk-1) on the surface of primary endothelial cells and preselected CD34+ cells from cord blood,Stem cells,19,1,24-36,2001,Oxford University Press
"Pavlakovic, Helena; Becker, Jürgen; Albuquerque, Romulo; Wilting, Jörg; Ambati, Jayakrishna; ",Soluble VEGFR‐2: an antilymphangiogenic variant of VEGF receptors,Annals of the New York Academy of Sciences,1207,,E7-E15,2010,Wiley Online Library
"Eppenberger, Manuela; Zlobec, Inti; Baumhoer, Daniel; Terracciano, Luigi; Lugli, Alessandro; ",Role of the VEGF ligand to receptor ratio in the progression of mismatch repair-proficient colorectal cancer,BMC cancer,10,,1-10,2010,Springer
"Adini, Avner; Adini, Irit; Chi, Zai-long; Derda, Ratmir; Birsner, Amy E; Matthews, Benjamin D; D’Amato, Robert J; ",A novel strategy to enhance angiogenesis in vivo using the small VEGF-binding peptide PR1P,Angiogenesis,20,,399-408,2017,Springer
"Lin, Chiu-Mei; Chang, Hang; Chen, Yeh-Hsu; Li, Shih Yun; Wu, I-Hsing; Chiu, Jen-Hwey; ","Protective role of wogonin against lipopolysaccharide-induced angiogenesis via VEGFR-2, not VEGFR-1",International immunopharmacology,6,11,1690-1698,2006,Elsevier
"Koch, Sina; Tugues, Sònia; Li, Xiujuan; Gualandi, Laura; Claesson-Welsh, Lena; ",Signal transduction by vascular endothelial growth factor receptors,Biochemical journal,437,2,169-183,2011,Portland Press Ltd.
"Vartanian, Amalia; Stepanova, Eugenia; Grigorieva, Irina; Solomko, Elico; Baryshnikov, Anatoly; Lichinitser, Mikhail; ",VEGFR1 and PKCα signaling control melanoma vasculogenic mimicry in a VEGFR2 kinase-independent manner,Melanoma research,21,2,91-98,2011,LWW
"Olofsson, Birgitta; Korpelainen, Eija; Pepper, Michael S; Mandriota, Stefano J; Aase, Karin; Kumar, Vijay; Gunji, Yuji; Jeltsch, Michael M; Shibuya, Masabumi; Alitalo, Kari; ",Vascular endothelial growth factor B (VEGF-B) binds to VEGF receptor-1 and regulates plasminogen activator activity in endothelial cells,Proceedings of the National Academy of Sciences,95,20,11709-11714,1998,National Acad Sciences
"Mäkinen, Taija; Veikkola, Tanja; Mustjoki, Satu; Karpanen, Terhi; Catimel, Bruno; Nice, Edouard C; Wise, Lyn; Mercer, Andrew; Kowalski, Heinrich; Kerjaschki, Dontscho; ","Isolated lymphatic endothelial cells transduce growth, survival and migratory signals via the VEGF-C/D receptor VEGFR-3",The EMBO journal,20,17,4762-4773,2001,"John Wiley & Sons, Ltd"
"Srabovic, Nahida; Mujagic, Zlata; Mujanovic-Mustedanagic, Jasminka; Softic, Adaleta; Muminovic, Zdeno; Rifatbegovic, Adi; Begic, Lejla; ",Vascular endothelial growth factor receptor-1 expression in breast cancer and its correlation to vascular endothelial growth factor a,International journal of breast cancer,2013,,,2013,Hindawi
"Sadremomtaz, Afsaneh; Ali, Ameena M; Jouyandeh, Foroozan; Balalaie, Saeed; Navari, Razieh; Broussy, Sylvain; Mansouri, Kamran; Groves, Matthew R; Asghari, S Mohsen; ","Molecular docking, synthesis and biological evaluation of Vascular Endothelial Growth Factor (VEGF) B based peptide as antiangiogenic agent targeting the second domain of the Vascular Endothelial Growth Factor Receptor 1 (VEGFR1D2) for anticancer application",Signal transduction and targeted therapy,5,1,76,2020,Nature Publishing Group UK London
"Harper, Steven J; Bates, David O; ",VEGF-A splicing: the key to anti-angiogenic therapeutics?,Nature Reviews Cancer,8,11,880-887,2008,Nature Publishing Group UK London
"Ng, Yin-Shan; Krilleke, Dominik; Shima, David T; ",VEGF function in vascular pathogenesis,Experimental cell research,312,5,527-537,2006,Elsevier
"Yao, Jenny; Wu, Xiumin; Zhuang, Guanglei; Kasman, Ian M; Vogt, Tobias; Phan, Vernon; Shibuya, Masabumi; Ferrara, Napoleone; Bais, Carlos; ",Expression of a functional VEGFR-1 in tumor cells is a major determinant of anti-PlGF antibodies efficacy,Proceedings of the National Academy of Sciences,108,28,11590-11595,2011,National Acad Sciences
"D'Haene, Nicky; Sauvage, Sebastien; Maris, Calliope; Adanja, Ivan; Le Mercier, Marie; Decaestecker, Christine; Baum, Linda; Salmon, Isabelle; ",VEGFR1 and VEGFR2 involvement in extracellular galectin-1-and galectin-3-induced angiogenesis,PloS one,8,6,e67029,2013,"Public Library of Science San Francisco, USA"
"Stacker, Steven A; Stenvers, Kaye; Caesar, Carol; Vitali, Angela; Domagala, Teresa; Nice, Edouard; Roufail, Sally; Simpson, Richard J; Moritz, Robert; Karpanen, Terhi; ",Biosynthesis of vascular endothelial growth factor-D involves proteolytic processing which generates non-covalent homodimers,Journal of Biological Chemistry,274,45,32127-32136,1999,ASBMB
"Cai, Meng; Wang, Keqing; Murdoch, Colin E; Gu, Yuchun; Ahmed, Asif; ",Heterodimerisation between VEGFR-1 and VEGFR-2 and not the homodimers of VEGFR-1 inhibit VEGFR-2 activity,Vascular Pharmacology,88,,11-20,2017,Elsevier
"Spoerri, Polyxenie E; Afzal, Aqeela; Li Calzi, S; Shaw, Lynn C; Cai, Jun; Pan, Hao; Boulton, Michael; Grant, Maria B; ","Effects of VEGFR-1, VEGFR-2, and IGF-IR hammerhead ribozymes on glucose-mediated tight junction expression in cultured human retinal endothelial cells",Mol Vis,12,12,32-42,2006,
"Hamada, Koichi; Oike, Yuichi; Takakura, Nobuyuki; Ito, Yasuhiro; Jussila, Lotta; Dumont, Daniel J; Alitalo, Kari; Suda, Toshio; ",VEGF-C signaling pathways through VEGFR-2 and VEGFR-3 in vasculoangiogenesis and hematopoiesis,"Blood, The Journal of the American Society of Hematology",96,12,3793-3800,2000,"American Society of Hematology Washington, DC"
"Mustonen, Tuija; Alitalo, Kari; ",Endothelial receptor tyrosine kinases involved in angiogenesis.,The Journal of cell biology,129,4,895-898,1995,
"Han, Kyu-Yeon; Dugas-Ford, Jennifer; Lee, Hyun; Chang, Jin-Hong; Azar, Dimitri T; ",MMP14 cleavage of VEGFR1 in the cornea leads to a VEGF-trap antiangiogenic effect,Investigative Ophthalmology & Visual Science,56,9,5450-5456,2015,The Association for Research in Vision and Ophthalmology
"Subramaniam, Noeline; Petrik, James J; Vickaryous, Matthew K; ","VEGF, FGF‐2 and TGF β expression in the normal and regenerating epidermis of geckos: implications for epidermal homeostasis and wound healing in reptiles",Journal of Anatomy,232,5,768-782,2018,Wiley Online Library
"Kowanetz, Marcin; Ferrara, Napoleone; ",Vascular endothelial growth factor signaling pathways: therapeutic perspective,Clinical Cancer Research,12,17,5018-5022,2006,AACR
"Ciombor, Kristen K; Berlin, Jordan; Chan, Emily; ",Aflibercept,Clinical Cancer Research,19,8,1920-1925,2013,AACR
"Yagolovich, Anne V; Artykov, Artem A; Isakova, Alina A; Vorontsova, Yekaterina V; Dolgikh, Dmitry A; Kirpichnikov, Mikhail P; Gasparian, Marine E; ",Optimized heterologous expression and efficient purification of a new TRAIL-based antitumor fusion protein SRH–DR5-B with dual VEGFR2 and DR5 receptor specificity,International Journal of Molecular Sciences,23,11,5860,2022,MDPI
"Christinger, Hans W; Fuh, Germaine; de Vos, Abraham M; Wiesmann, Christian; ",The crystal structure of placental growth factor in complex with domain 2 of vascular endothelial growth factor receptor-1,Journal of Biological Chemistry,279,11,10382-10388,2004,ASBMB
"Rahimi, Nader; ",VEGFR-1 and VEGFR-2: two non-identical twins with a unique physiognomy,Frontiers in bioscience: a journal and virtual library,11,,818,2006,NIH Public Access
"Ferrara, Napoleone; ",Pathways mediating VEGF-independent tumor angiogenesis,Cytokine & growth factor reviews,21,1,21-26,2010,Elsevier
"Rashidi, Bahman; Malekzadeh, Mehrnoush; Goodarzi, Mohammad; Masoudifar, Aria; Mirzaei, Hamed; ",Green tea and its anti-angiogenesis effects,Biomedicine & Pharmacotherapy,89,,949-956,2017,Elsevier
"Robak, Ewa; Sysa-Jędrzejewska, Anna; Robak, Tadeusz; ",Vascular endothelial growth factor and its soluble receptors VEGFR-1 and VEGFR-2 in the serum of patients with systemic lupus erythematosus,Mediators of inflammation,12,,293-298,2003,Hindawi
"Medford, Andrew RL; Ibrahim, Nassif BN; Millar, Ann B; ",Vascular endothelial growth factor receptor and coreceptor expression in human acute respiratory distress syndrome,Journal of critical care,24,2,236-242,2009,Elsevier
"Teran, Madelane; Nugent, Matthew A; ",Characterization of receptor binding kinetics for vascular endothelial growth factor-A using SPR,Analytical biochemistry,564,,21-31,2019,Elsevier
"Brekken, Rolf A; Overholser, Jay P; Stastny, Victor A; Waltenberger, Johannes; Minna, John D; Thorpe, Philip E; ",Selective inhibition of vascular endothelial growth factor (VEGF) receptor 2 (KDR/Flk-1) activity by a monoclonal anti-VEGF antibody blocks tumor growth in mice,Cancer research,60,18,5117-5124,2000,AACR
"Finley, Stacey D; Engel-Stefanini, Marianne O; Imoukhuede, Princess I; Popel, Aleksander S; ",Pharmacokinetics and pharmacodynamics of VEGF-neutralizing antibodies,BMC systems biology,5,,1-20,2011,Springer
"Ustuner, Zeki; Saip, Pinar; Yasasever, Vildan; Vural, Burcak; Yazar, Aziz; Bal, Cengiz; Ozturk, Betul; Ozbek, Ugur; Topuz, Erkan; ","Prognostic and predictive value of vascular endothelial growth factor and its soluble receptors, VEGFR-1 and VEGFR-2 levels in the sera of small cell lung cancer patients",Medical Oncology,25,,394-399,2008,Springer
"Abdullah, Shaad E; Perez‐Soler, Roman; ",Mechanisms of resistance to vascular endothelial growth factor blockade,Cancer,118,14,3455-3467,2012,Wiley Online Library
"Ball, Stephen G; Shuttleworth, C Adrian; Kielty, Cay M; ",Mesenchymal stem cells and neovascularization: role of platelet‐derived growth factor receptors,Journal of cellular and molecular medicine,11,5,1012-1030,2007,Wiley Online Library
"Clauss, Matthias; ",Molecular biology of the VEGF and the VEGF receptor family,Seminars in thrombosis and hemostasis,26,05,561-570,2000,"Copyright© 2000 by Thieme Medical Publishers, Inc., 333 Seventh Avenue, New …"
"Shibuya, Masabumi; ","Vascular endothelial growth factor (VEGF)-Receptor2: its biological functions, major signaling pathway, and specific ligand VEGF-E",Endothelium,13,2,63-69,2006,Taylor & Francis
"Udugamasooriya, D Gomika; Ritchie, Caroline; Brekken, Rolf A; Kodadek, Thomas; ",A peptoid antagonist of VEGF receptor 2 recognizes a ‘hotspot’in the extracellular domain distinct from the hormone-binding site,Bioorganic & medicinal chemistry,16,12,6338-6343,2008,Elsevier
"Salema, Valencio; Mañas, Carmen; Cerdán, Lidia; Piñero-Lambea, Carlos; Marín, Elvira; Roovers, Rob C; Van Bergen en Henegouwen, Paul MP; Fernández, Luis Ángel; ",High affinity nanobodies against human epidermal growth factor receptor selected on cells by E. coli display,MAbs,8,7,1286-1301,2016,Taylor & Francis
"Bagnard, Dominique; Vaillant, Catherine; Khuth, Seng-Thuon; Dufay, Nathalie; Lohrum, Marion; Püschel, Andreas W; Belin, Marie-Francoise; Bolz, Jürgen; Thomasset, Nicole; ",Semaphorin 3A–vascular endothelial growth factor-165 balance mediates migration and apoptosis of neural progenitor cells by the recruitment of shared receptor,Journal of Neuroscience,21,10,3332-3341,2001,Soc Neuroscience
"Szabó, Emese; Phillips, Douglas J; Droste, Miriam; Marti, Andrea; Kretzschmar, Titus; Shamshiev, Abdijapar; Weller, Michael; ","Antitumor activity of DLX1008, an anti-VEGFA antibody fragment with low picomolar affinity, in human glioma models",Journal of Pharmacology and Experimental Therapeutics,365,2,422-429,2018,ASPET
"Cai, Jun; Jiang, Wen G; Ahmed, Asif; Boulton, Mike; ","Vascular endothelial growth factor-induced endothelial cell proliferation is regulated by interaction between VEGFR-2, SH-PTP1 and eNOS",Microvascular research,71,1,20-31,2006,Elsevier
"Tang, Jing Yan; Li, Shang; Li, Zhen Hua; Zhang, Zai Jun; Hu, Guang; Cheang, Lorita Chi Veng; Alex, Deepa; Hoi, Maggie Pui Man; Kwan, Yiu Wa; Chan, Shun Wan; ",Calycosin promotes angiogenesis involving estrogen receptor and mitogen-activated protein kinase (MAPK) signaling pathway in zebrafish and HUVEC,PloS one,5,7,e11822,2010,"Public Library of Science San Francisco, USA"
"Deckers, Martine ML; Karperien, Marcel; van der Bent, Chris; Yamashita, Takeyoshi; Papapoulos, Socrates E; Löwik, Clemens WGM; ",Expression of vascular endothelial growth factors and their receptors during osteoblast differentiation,Endocrinology,141,5,1667-1674,2000,Oxford University Press
"Hornig, Carsten; Barleon, Bernhard; Ahmad, Shakil; Vuorela, Piia; Ahmed, Asif; Weich, Herbert A; ",Release and complex formation of soluble VEGFR-1 from endothelial cells and biological fluids,Laboratory investigation,80,4,443-454,2000,Elsevier
"Uemura, Akiyoshi; Fruttiger, Marcus; d'Amore, Patricia A; De Falco, Sandro; Joussen, Antonia M; Sennlaub, Florian; Brunck, Lynne R; Johnson, Kristian T; Lambrou, George N; Rittenhouse, Kay D; ",VEGFR1 signaling in retinal angiogenesis and microinflammation,Progress in Retinal and Eye Research,84,,100954,2021,Elsevier
"Clarke, Jeffrey Melson; Hurwitz, Herbert I; ",Targeted inhibition of VEGF receptor 2: an update on ramucirumab,Expert opinion on biological therapy,13,8,1187-1196,2013,Taylor & Francis
"Cooper, Mark E; Vranes, Dimitria; Youssef, Sherif; Stacker, Steven A; Cox, Alison J; Rizkalla, Bishoy; Casley, David J; Bach, Leon A; Kelly, Darren J; Gilbert, Richard E; ",Increased renal expression of vascular endothelial growth factor (VEGF) and its receptor VEGFR-2 in experimental diabetes.,Diabetes,48,11,2229-2239,1999,Am Diabetes Assoc
"Bougatef, Faten; Quemener, Cathy; Kellouche, Sabrina; Naïmi, Benyoussef; Podgorniak, Marie-Pierre; Millot, Guy; Gabison, Eric E; Calvo, Fabien; Dosquet, Christine; Lebbé, Céleste; ",EMMPRIN promotes angiogenesis through hypoxia-inducible factor-2α–mediated regulation of soluble VEGF isoforms and their receptor VEGFR-2,"Blood, The Journal of the American Society of Hematology",114,27,5547-5556,2009,"American Society of Hematology Washington, DC"
"Li, Jing; Zhou, Nan; Luo, Kun; Zhang, Wei; Li, Xinru; Wu, Chuanfang; Bao, Jinku; ",In silico discovery of potential VEGFR-2 inhibitors from natural derivatives for anti-angiogenesis therapy,International journal of molecular sciences,15,9,15994-16011,2014,MDPI
"Bussolati, Benedetta; Dunk, Caroline; Grohman, Malcolm; Kontos, Christopher D; Mason, Justin; Ahmed, Asif; ",Vascular endothelial growth factor receptor-1 modulates vascular endothelial growth factor-mediated angiogenesis via nitric oxide,The American journal of pathology,159,3,993-1008,2001,Elsevier
"Sentilhes, Loïc; Michel, Christine; Lecourtois, Magalie; Catteau, Julie; Bourgeois, Philippe; Laudenbach, Vincent; Marret, Stéphane; Laquerrière, Annie; ",Vascular endothelial growth factor and its high-affinity receptor (VEGFR-2) are highly expressed in the human forebrain and cerebellum during development,Journal of Neuropathology & Experimental Neurology,69,2,111-128,2010,"American Association of Neuropathologists, Inc."
"Hornig, Carsten; Weich, Herbert A; ",Soluble VEGF receptors,Angiogenesis,3,,33-39,1999,Springer
"Gabhann, Feilim Mac; Popel, Aleksander S; ",Targeting neuropilin-1 to inhibit VEGF signaling in cancer: comparison of therapeutic approaches,PLoS computational biology,2,12,e180,2006,"Public Library of Science San Francisco, USA"
"Koolwijk, Pieter; Peters, Erna; van der Vecht, Bea; Hornig, Carsten; Weich, Herbert A; Alitalo, Kari; Hicklin, Daniel J; Wu, Yan; Witte, Larry; van Hinsbergh, Victor WM; ",Involvement of VEGFR-2 (kdr/flk-1) but not VEGFR-1 (flt-1) in VEGF-A and VEGF-C-induced tube formation by human microvascular endothelial cells in fibrin matrices in vitro,Angiogenesis,4,,53-60,2001,Springer
"Kaczmarek, MM; Kiewisz, J; Schams, D; Ziecik, AJ; ",Expression of VEGF-receptor system in conceptus during peri-implantation period and endometrial and luteal expression of soluble VEGFR-1 in the pig,Theriogenology,71,8,1298-1306,2009,Elsevier
"Holmes, Katherine; Roberts, Owain Ll; Thomas, Angharad M; Cross, Michael J; ","Vascular endothelial growth factor receptor-2: structure, function, intracellular signalling and therapeutic inhibition",Cellular signalling,19,10,2003-2012,2007,Elsevier
"Shibuya, Masabumi; ",Tyrosine kinase receptor Flt/VEGFR family: its characterization related to angiogenesis and cancer,Genes & cancer,1,11,1119-1123,2010,"SAGE Publications Sage CA: Los Angeles, CA"
"Simo, Rafael; Sundstrom, Jeffrey M; Antonetti, David A; ",Ocular anti-VEGF therapy for diabetic retinopathy: the role of VEGF in the pathogenesis of diabetic retinopathy,Diabetes care,37,4,893-899,2014,Am Diabetes Assoc
"Baghban, Roghayyeh; Ghasemali, Samaneh; Farajnia, Safar; Hoseinpoor, Reyhaneh; Andarzi, Sahar; Zakariazadeh, Mostafa; Zarredar, Habib; ",Design and in silico evaluation of a novel cyclic disulfide-rich anti-VEGF peptide as a potential antiangiogenic drug,International Journal of Peptide Research and Therapeutics,27,,2245-2256,2021,Springer
"Mamluk, Roni; Carvajal, Irvith M; Morse, Brent A; Wong, Henry K; Abramowitz, Janette; Aslanian, Sharon; Lim, Ai-Ching; Gokemeijer, Jochem; Storek, Michael J; Lee, Joonsoo; ",Anti-tumor effect of CT-322 as an adnectin inhibitor of vascular endothelial growth factor receptor-2,MAbs,2,2,199-208,2010,Taylor & Francis
"Youssoufian, Hagop; Hicklin, Daniel J; Rowinsky, Eric K; ",monoclonal antibodies to the vascular endothelial growth factor receptor-2 in cancer therapy,Clinical cancer research,13,18,5544s-5548s,2007,AACR
"Bosco, Jennifer; Zhou, Zhiwei; Gabriëls, Sofie; Verma, Mayank; Liu, Nan; Miller, Brian K; Gu, Sheng; Lundberg, Dianna M; Huang, Yan; Brown, Eilish; ",VEGFR-1/Flt-1 inhibition increases angiogenesis and improves muscle function in a mouse model of Duchenne muscular dystrophy,Molecular Therapy-Methods & Clinical Development,21,,369-381,2021,Elsevier
"Boda, Sunitha; Nukala, Satheesh Kumar; Manchal, Ravinder; ","One‐Pot Synthesis of Some New Isatin‐1, 2, 4‐oxadiazole Hybrids as VEGFR‐2 Aiming Anticancer Agents",ChemistrySelect,7,26,e202200972,2022,Wiley Online Library
"Inder, Marie K; Ueda, Norihito; Mercer, Andrew A; Fleming, Stephen B; Wise, Lyn M; ",Bovine papular stomatitis virus encodes a functionally distinct VEGF that binds both VEGFR-1 and VEGFR-2,Journal of general virology,88,3,781-791,2007,Microbiology Society
"Kim, Ellen J; Park, Hee‐Young; Yaar, Mina; Gilchrest, Barbara A; ",Modulation of vascular endothelial growth factor receptors in melanocytes,Experimental dermatology,14,8,625-633,2005,Wiley Online Library
"Stinga, AC; Margaritescu, Otilia; Stinga, Alina Simona; Pirici, D; Ciurea, Raluca; Bunget, Adina; Cruce, M; ",VEGFR1 and VEGFR2 immunohistochemical expression in oral squamous cell carcinoma: a morphometric study,Rom J Morphol Embryol,52,4,1269-75,2011,
"Cudmore, Melissa J; Hewett, Peter W; Ahmad, Shakil; Wang, Ke-Qing; Cai, Meng; Al-Ani, Bahjat; Fujisawa, Takeshi; Ma, Bin; Sissaoui, Samir; Ramma, Wenda; ",The role of heterodimerization between VEGFR-1 and VEGFR-2 in the regulation of endothelial cell homeostasis,Nature communications,3,1,972,2012,Nature Publishing Group UK London
"Mariotti, Valeria; Fiorotto, Romina; Cadamuro, Massimiliano; Fabris, Luca; Strazzabosco, Mario; ",New insights on the role of vascular endothelial growth factor in biliary pathophysiology,JHEP Reports,3,3,100251,2021,Elsevier
"Sarkar, Joy; Luo, Yuncin; Zhou, Qiang; Ivakhnitskaia, Evguenia; Lara, Daniel; Katz, Eitan; Sun, Michael G; Guaiquil, Victor; Rosenblatt, Mark; ",VEGF receptor heterodimers and homodimers are differentially expressed in neuronal and endothelial cell types,PLoS One,17,7,e0269818,2022,"Public Library of Science San Francisco, CA USA"
"Pala, Laura; Cresci, Barbara; Manuelli, Cinzia; Maggi, Enrico; Yamaguchi, Yoko F; Cappugi, Pietro; Rotella, Carlo Maria; Giannini, Stefano; ",Vascular endothelial growth factor receptor-2 and low affinity VEGF binding sites on human glomerular endothelial cells: Biological effects and advanced glycosilation end products modulation,Microvascular research,70,3,179-188,2005,Elsevier
"Wise, Lyn M; Ueda, Norihito; Dryden, Nicola H; Fleming, Stephen B; Caesar, Carol; Roufail, Sally; Achen, Marc G; Stacker, Steven A; Mercer, Andrew A; ","Viral vascular endothelial growth factors vary extensively in amino acid sequence, receptor-binding specificities, and the ability to induce vascular permeability yet are uniformly active mitogens",Journal of Biological Chemistry,278,39,38004-38014,2003,ASBMB
"Stevens, Megan; Oltean, Sebastian; ",Modulation of receptor tyrosine kinase activity through alternative splicing of ligands and receptors in the VEGF-A/VEGFR axis,Cells,8,4,288,2019,MDPI
"Avouac, J; Wipff, J; Goldman, O; Ruiz, B; Couraud, PO; Chiocchia, G; Kahan, A; Boileau, C; Uzan, G; Allanore, Y; ",Angiogenesis in systemic sclerosis: impaired expression of vascular endothelial growth factor receptor 1 in endothelial progenitor–derived cells under hypoxic conditions,Arthritis & Rheumatism: Official Journal of the American College of Rheumatology,58,11,3550-3561,2008,Wiley Online Library
"Konner, Jason; Dupont, Jakob; ",Use of soluble recombinant decoy receptor vascular endothelial growth factor trap (VEGF Trap) to inhibit vascular endothelial growth factor activity,Clinical colorectal cancer,4,,S81-S85,2004,Elsevier
